@relation art44-weka.filters.unsupervised.attribute.NumericToNominal-R10

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute class {0,1,2}

@data
4.427372,-3.410448,1.605465,-0.287784,0.134951,2.253399,-0.764889,1.161234,0.97254,1
0.161521,-1.822189,-2.397085,0.952659,-1.021466,-1.251177,0.350234,-2.842236,0.909857,0
0.017206,2.101045,0.242213,0.706896,0.148731,1.729271,0.583354,0.352197,-0.784359,2
2.542657,-1.928111,-0.117777,-2.572096,0.242063,-0.456036,0.402842,2.900726,-0.370328,1
0.134158,-3.835318,0.191437,1.294032,0.378723,-0.933536,0.007932,-3.427424,0.91959,0
0.925621,-0.404338,1.831398,-1.18873,-1.438338,-1.959405,3.182005,-0.39505,2.492573,1
-0.910901,2.364612,0.151308,2.033758,-0.054084,1.164609,1.382034,0.480714,0.143615,2
-0.165474,1.060346,-1.054931,-0.225303,-0.700851,1.532061,-3.196076,-2.246521,3.293472,2
-1.588083,1.3868,-1.348971,-0.439739,1.294045,1.04015,-1.75269,-1.200332,-0.025626,2
-1.37873,-1.781962,-2.25463,-0.884289,2.539521,-0.190455,2.076458,-1.528637,-1.427569,0
1.533742,-4.327332,-1.145896,0.212017,-1.084583,-3.265726,0.192084,-2.458941,-0.202328,0
1.135515,-1.292095,-1.70326,-0.817712,0.430766,2.603145,-3.679759,1.684104,-2.40677,1
2.685917,0.970976,2.252734,-2.977851,-1.980774,1.017148,-0.745645,2.00372,1.805241,1
0.076067,-3.089623,-0.315101,1.639387,1.976637,-3.20305,2.12693,-0.333408,2.33102,0
-1.270772,1.172034,-2.758852,0.704237,-2.112752,2.991262,-0.562797,-0.360476,-0.266894,2
-2.196043,-2.309765,-0.498932,-0.074854,0.662992,-1.087915,-4.089641,-3.957257,2.137465,2
-1.749923,-1.04315,-2.955995,1.096543,-0.628289,0.992975,-2.169182,-0.827051,-1.540764,2
-3.871007,1.229211,-0.303023,2.03406,1.534116,-0.022561,0.858732,-1.627984,-1.108038,0
3.342965,-2.091648,3.34565,-4.099841,-0.964926,-1.376875,-1.689992,2.19827,-0.502319,1
-1.014345,-1.122087,-0.226377,0.842117,-0.878168,-2.292286,0.116723,-0.318047,-0.472158,1
0.51904,-0.549306,3.218043,-5.426647,-2.156073,-3.517267,0.211984,1.207068,1.7573,1
0.39297,2.818093,-0.544187,2.221402,-0.785847,2.418109,0.015917,0.623714,0.245703,2
-0.969923,0.576355,-0.585155,0.714171,0.339251,-1.836883,0.739193,1.24439,0.969848,0
1.024804,-1.185347,-1.765019,1.459287,0.250447,-1.835132,1.085089,0.987088,2.85201,0
-3.630472,-0.29434,0.563589,-0.415479,3.702331,-1.154408,1.595191,-0.33586,0.128585,0
3.55677,-1.436515,0.958568,-5.203453,-0.322839,3.414272,-1.539013,3.843261,2.597895,1
-0.819599,1.154632,-0.661291,0.40937,-1.184926,1.317647,-1.271139,-1.631332,0.434644,2
0.145892,-2.073014,0.55318,-0.416283,-0.891797,-0.399541,0.622087,-0.476431,1.440781,1
-1.276172,0.342509,0.201647,1.743168,-0.520682,0.29022,-1.251804,-1.757113,3.667488,2
-1.123353,0.44607,-0.419922,-0.469289,-3.41315,1.337359,0.387492,-1.393675,1.958397,2
0.369536,1.823281,-0.179239,2.474842,-1.12823,-0.200913,-0.7793,-0.225086,1.77979,2
0.976647,-1.934898,-2.119363,-2.19437,0.670279,-0.341311,0.568701,4.787689,-1.231448,1
-1.452413,0.507114,-0.846111,0.494406,-2.392987,-0.572022,1.456369,-0.357272,0.515384,1
0.902426,-0.293002,-1.166485,-2.28937,-0.493023,-0.818452,2.554274,3.250265,-0.545524,1
-2.226244,-2.346173,-1.716227,0.534124,-2.457527,0.602747,-1.417315,-1.983053,1.519605,2
0.81622,-2.187627,-3.877078,5.020971,-1.965253,0.512579,1.067175,-3.947712,1.971972,0
-1.487396,-0.039528,-1.015816,-1.054399,-1.698009,-3.286805,4.273449,-0.180088,0.823711,1
-1.191904,1.699305,-1.164167,-1.845753,0.639198,0.071769,-4.54715,-3.458132,2.957097,2
0.95044,-0.953045,1.942051,-1.171053,-2.302353,-1.351556,2.272251,0.69524,2.825176,1
0.483532,-0.364601,-2.421434,-1.737158,-1.569647,-3.397604,0.862806,0.727576,-0.370024,0
-1.684022,0.832031,-3.245049,0.420485,0.328126,1.854397,-1.007989,0.532399,-2.50055,2
-0.827503,1.059221,-1.125054,-3.884152,2.549494,-2.933737,2.140385,4.670901,1.768142,0
-0.591399,0.764333,-3.915118,1.041943,-1.087153,2.47033,-1.957116,0.39973,-1.738399,2
-4.040089,1.910915,0.980469,-2.073673,2.974342,-3.705961,3.078231,3.303998,-2.784098,0
-0.176734,-2.808856,-2.535819,0.116021,2.625431,-1.438151,0.711994,-1.313171,-0.794207,0
-0.882692,-2.346173,-0.620844,1.310377,0.864345,-0.786535,0.702646,-2.783925,1.776857,0
0.396667,-1.614246,-1.277397,-1.193952,-1.356904,-1.996324,0.176346,-1.693794,-0.918664,0
3.445547,-2.650491,-0.832831,-1.675543,2.330975,-0.292347,0.788881,5.84209,-1.245928,1
-0.332265,1.672375,1.450984,5.91011,-2.305924,0.405323,-0.747064,-3.438575,1.510497,1
-2.374368,0.176967,-3.088076,1.741132,-0.791622,2.396131,-0.891396,-0.147068,-0.596286,2
-0.545802,-1.481916,-0.960778,-0.603627,0.8598,-1.256873,1.134905,-0.789244,1.475093,0
-2.758136,1.121528,-2.178296,1.123663,1.904736,0.982131,0.667416,-1.444553,0.330336,0
-1.623343,1.605969,-1.715406,1.392784,1.342008,1.634474,-2.405067,-1.140033,2.179404,2
-1.445277,-0.524661,-0.652706,1.00877,1.69736,-0.927801,0.677798,-0.502988,1.976,0
0.785815,0.393,0.775067,-2.696561,-2.091215,0.552404,0.085872,3.060923,0.471415,1
1.766062,-2.249083,1.140112,-1.281595,-0.194599,1.437491,-0.713812,1.92956,2.21587,1
-2.626891,-2.018443,-0.199349,-0.061509,-1.93681,-1.392412,-0.457052,-2.452571,0.378916,2
-2.526133,-0.74871,-0.030573,1.931808,3.062224,2.400384,1.036428,-1.736709,0.169722,0
-2.879834,1.442296,-1.092089,-1.293219,-1.360697,-0.045134,0.148203,-1.837587,-0.782593,2
0.859294,0.333597,0.62038,-1.492601,-0.786886,-0.443631,-0.003846,2.648838,1.500928,1
-0.810148,-0.233961,-2.618636,2.626082,-0.470141,1.551399,-0.76122,0.766285,0.988647,2
-0.468604,-1.135825,-3.158328,1.444335,-0.754092,-0.731327,0.578986,-2.267746,0.469834,0
-2.53682,-1.804051,-0.543481,0.688675,4.39508,-0.408438,2.546413,-0.217833,-0.411492,0
-0.729978,1.571176,-1.651269,-0.470727,-1.22892,-0.989274,-0.43288,0.412181,2.689947,0
0.240271,-1.057239,-2.282928,0.062448,0.381365,0.400112,1.955954,0.841675,-0.402786,1
1.456755,-3.489033,0.257545,2.32241,-0.73084,-3.740199,-0.483899,-1.800966,2.451968,0
1.696469,3.846576,0.050731,2.383408,-0.100522,2.062955,1.045539,2.256423,-1.015894,2
2.248591,3.550997,-0.810349,1.028711,-0.310337,4.598912,-1.850698,0.526304,2.085697,2
1.618337,-1.316626,2.377331,-3.004639,-2.500237,-2.404774,3.810487,0.127091,1.939695,1
0.814973,-4.599008,-1.911049,-1.449132,2.53347,-2.008113,2.068429,-0.922783,-1.087602,0
-0.552087,0.971929,-2.227111,1.270588,-1.457916,-2.036983,0.121789,0.110172,1.190334,0
1.134699,-0.712588,-0.82973,-3.995525,-0.890704,-1.017038,-0.478947,2.107553,-3.338283,1
-0.996896,-1.544908,-0.923583,3.144207,-3.888872,0.243027,-1.256835,-1.829946,3.537202,2
-0.906077,1.605374,0.756737,-0.020625,-2.178701,-1.600362,3.056239,-0.87186,4.527075,1
-0.783776,3.467409,0.753243,-1.358698,-0.758905,2.08442,2.185583,0.078197,-1.462107,2
3.636528,-2.990695,0.594535,-0.39732,1.813433,0.103239,-0.728932,4.156996,-0.422034,1
0.842518,-1.143802,-3.172484,1.17676,-3.160702,-2.367931,-0.927851,-2.22945,0.253645,0
-1.461431,-0.624344,-1.066735,1.037707,-1.321919,-2.908554,3.430055,-0.613849,-0.79513,1
-0.193562,-0.121775,-0.694925,0.166439,-1.418736,1.048069,0.267409,-1.349182,0.515124,1
-0.863115,0.545456,-2.63025,2.806465,-2.871473,-2.610695,-0.896852,-1.972707,0.101525,0
-1.823805,-1.408583,0.609836,1.634448,2.240149,-0.097916,1.086188,-2.138164,1.866016,0
