@relation art-24-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute att0 numeric
@attribute att1 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute class {0,1}

@data
2.639983,-0.576665,0.117165,4.527256,-7.584067,-1.506493,1.735441,1.504579,0.465454,0.451469,-0.809123,-4.791922,6.156938,-2.236991,5.232034,-0.50093,1.500871,1
-0.37181,4.919851,-0.14706,-0.734815,-2.08742,0.485376,2.059463,0.233178,3.341884,0.681492,-0.417194,1.884753,0.691216,-0.259697,0.162331,-0.373383,0.250577,0
-0.379185,0.327155,-1.964614,1.498689,-0.252406,-1.902356,2.111371,-1.543532,-2.342118,2.17683,-0.230494,-0.553202,-1.40418,-2.06871,0.485335,-2.543258,-5.766701,0
1.793106,1.817329,2.410682,-2.119828,-0.432462,-1.493293,-1.217815,2.203458,2.969257,0.739773,-0.854626,-1.649151,-1.071272,0.016906,1.446291,-2.455644,2.544467,0
0.979381,2.02085,-1.2359,0.589136,-1.130844,-0.869154,1.127505,1.360694,0.263722,-0.610288,-0.892145,-0.974562,-0.590408,-0.039713,-1.705721,-0.827382,-0.065946,0
3.396104,-1.152652,2.327195,-0.656995,1.039652,-1.163255,2.335439,0.984357,-0.11313,2.699553,0.719097,0.178878,2.962578,-2.452234,-1.344189,-0.991787,-1.77231,1
-0.915392,-2.886639,0.966991,-0.202845,-2.37843,2.506876,-2.083244,2.467439,-2.146773,3.09759,1.918447,-0.938508,1.090642,-0.48282,-3.035396,-0.601642,-1.566883,1
1.2643,-5.913375,-0.212072,-1.958871,0.322698,-0.124637,-1.096299,2.768058,-0.916714,1.676026,0.095808,1.705074,-2.629449,-0.395193,-4.613377,-1.490261,-1.296418,1
-1.274101,0.499455,4.744005,-1.600711,5.857058,2.603099,-2.946806,1.720876,2.650168,-2.232811,-6.094206,-2.098979,0.614334,1.402866,0.800778,0.07234,2.51922,0
-4.772249,-1.307048,-2.279874,-0.042111,-5.130794,-0.856232,-4.463619,5.954882,-0.104833,1.562922,3.510605,1.221671,0.402513,0.01658,-1.623414,-0.338318,-0.85944,1
1.845663,2.864849,4.461151,2.853558,1.17613,-3.426947,1.622078,-2.203771,-3.409392,1.400917,-1.589198,0.502715,-1.154831,-1.035662,0.901277,-2.070368,-1.184471,1
5.453429,-2.762845,0.847527,1.913762,3.046514,-3.690455,-0.477413,2.606881,-0.544138,-0.31951,0.810438,5.857361,-1.616339,-1.631415,-0.429721,-1.423997,-0.426418,1
2.669583,-0.737099,-0.789825,-1.31724,0.582153,-1.382342,0.078861,1.399875,-1.652309,-3.922203,-0.09866,-0.510225,0.261356,-0.04602,-0.274274,-3.213602,-1.206638,0
7.490758,2.471536,2.613219,-5.23175,4.775367,5.172764,1.197422,3.52818,6.374375,-1.363064,1.182888,-3.803442,0.543677,2.402532,2.857542,1.848687,2.04092,0
4.435827,0.474127,3.22622,-2.337377,1.55798,-0.902661,-2.764286,4.50923,1.798396,-1.668352,-0.380485,-0.824662,-0.276777,-1.170618,1.264284,-0.597979,3.726458,0
-0.292111,-1.534809,5.882989,-0.130441,-1.025,2.554479,-2.338908,0.446649,-8.192687,-0.326714,3.781616,-2.780244,3.133618,-1.135864,-5.930557,-1.210529,-3.226508,1
-0.242757,-2.808421,-1.388795,-0.006698,-1.771355,0.29642,0.272334,-0.247635,-2.882458,-1.750615,2.447471,-0.976029,2.852564,-3.039137,-1.902348,2.281858,0.923042,1
3.856429,-3.02866,-0.515933,1.914343,-4.547332,-2.87128,-0.167531,0.890482,4.098584,-0.811852,-2.112885,2.149346,4.756507,0.27526,1.353457,4.689898,-1.575906,1
-1.498984,0.277084,0.010241,0.629001,1.14209,-0.431712,-0.643539,-0.101445,1.185658,3.592232,1.174331,2.467943,3.5371,-5.282643,-1.262155,-3.796471,1.32467,1
3.566954,0.309819,0.51646,-2.60427,5.168173,1.660334,2.089019,-7.030459,5.009109,4.540845,-2.725232,0.902701,3.646077,-4.108259,-5.714462,-3.347419,-0.906981,1
-0.448265,0.829858,1.108944,0.185413,2.304027,-1.295653,3.281634,-1.689307,-0.973682,-7.510379,-1.499437,0.981016,-1.665726,-4.948378,-2.515394,-3.966204,-4.682388,0
3.011388,-4.742366,0.349159,1.642503,2.446678,0.56188,2.464475,2.65359,0.618865,6.823558,-1.999248,5.122752,3.972531,-1.962065,0.562813,-2.604368,-2.692231,1
-0.658849,2.736614,1.716335,1.862572,3.287577,-0.115138,1.664986,-2.939208,2.045019,2.122516,0.048968,-2.197342,4.397763,-1.140121,-1.508342,-0.215721,-0.033443,1
0.326283,-0.194264,4.980018,3.298623,1.94419,0.081929,-1.548184,-2.030369,-3.719557,-2.697002,0.517124,-2.110008,2.379913,-0.465853,-4.243255,-0.690281,-1.109113,1
5.797934,0.880827,1.868577,-5.601577,4.807758,2.704281,-0.29213,4.181941,0.14772,-1.821032,-1.226502,-2.379676,1.36985,2.677669,2.70328,-0.656329,-0.568182,0
2.025282,-6.684062,-0.030596,0.168382,-2.444256,3.317122,-3.303344,-1.652668,0.335124,0.00681,3.828139,-1.056664,5.644032,-1.525097,-1.338924,-0.199452,-0.561682,1
-1.522561,0.924748,-1.197789,1.689966,0.363551,-3.587839,-1.257659,1.732175,-1.327586,-1.077,-0.557959,-1.975469,-2.905093,-4.155742,-3.467225,-2.480871,-0.020068,0
3.394581,-0.019548,3.466755,-2.619685,3.019375,-0.602439,-1.556791,3.120591,5.450916,3.070949,-1.910852,-2.89213,-0.854115,-0.275812,3.772787,-1.044918,1.053486,0
2.70848,-0.247484,-3.672305,-0.075734,-2.113691,-4.477014,3.660178,-0.210493,0.592283,-2.675447,0.526549,0.610254,1.204638,1.064226,-0.074174,-6.287233,-5.754689,0
3.483458,2.613885,-0.535261,-3.512184,-1.557586,-1.32146,-1.679549,4.499955,-0.90802,-0.350872,-1.059045,0.392148,1.626237,1.475397,0.475742,-0.592403,-0.144395,0
4.980065,-0.948885,-0.175685,-2.686567,0.984704,1.575831,-0.250502,0.553213,3.336298,1.98666,-2.067633,-1.946068,2.128281,4.614408,1.641157,-5.054428,0.526647,0
0.861536,1.337728,3.313919,2.497247,3.972168,0.940295,5.785464,-1.101877,4.726532,-4.76066,0.732284,0.389607,-1.033996,-2.361884,2.26941,1.940389,-4.732474,0
-0.523574,0.252746,-1.39696,0.536104,-2.432909,-4.775436,-1.077727,1.983246,-3.477161,0.656927,3.05993,5.381658,-1.23283,-3.071518,-0.667225,-1.027282,-2.897027,1
1.382685,-2.846205,1.798953,0.368999,-2.865602,-0.327788,-3.963061,-1.001144,-2.763573,-1.544257,2.648487,-0.303556,-0.771199,1.748322,-3.298712,2.203202,-4.596214,1
-1.426799,1.498895,-0.026893,-1.946247,-1.170025,-4.023072,1.200956,2.548073,-0.994115,-2.269524,-1.909704,0.06532,0.095635,0.021411,2.149366,-1.500764,-4.867588,0
0.798183,4.435348,-2.831564,0.924866,0.552986,-3.138173,-3.33395,5.535382,0.411873,3.504011,-0.688289,1.206283,2.585686,1.634728,-2.778608,0.275176,2.299989,0
-0.309328,1.988498,1.659534,-2.360629,0.250011,-3.941483,1.608296,-1.102404,0.394711,-1.938048,-0.475872,-0.712612,0.406095,2.220676,-3.693966,4.325534,-5.759569,1
2.201323,0.51308,0.965835,-3.277199,-0.871948,-1.401783,-0.873654,0.444106,3.02142,-4.149296,-1.126501,0.096254,0.956958,0.396709,0.9888,-3.532554,-0.917038,0
0.281904,0.641526,3.886632,1.247804,0.932177,1.827924,-1.304916,1.605508,-2.916244,3.508044,1.969801,1.621783,2.495417,-2.9532,-0.362691,-3.82136,-1.366039,1
-2.712589,-1.048002,3.629102,-1.228995,3.475655,-2.93466,-3.566957,2.752621,-2.017761,-0.214039,-4.771055,-3.407334,-3.368589,-2.549177,1.395601,-0.433707,1.348186,0
2.827121,-0.972906,2.449589,1.996256,-2.249364,-1.023735,-0.284164,2.203078,-5.62561,-1.446142,1.908344,-1.054067,1.967504,-3.271298,-1.497369,-2.07132,-0.174143,1
-0.052801,1.761508,0.661313,0.163312,-2.379495,0.307024,-6.013229,0.709177,-0.393666,-0.670359,6.079941,1.320464,0.927361,0.039072,-2.006507,-0.832178,0.210123,1
-3.132851,-1.908004,-1.872332,3.373746,-3.896172,0.631849,-1.301701,5.371722,-1.729752,1.65311,1.77173,-1.352549,-0.032635,-1.256749,3.229736,-3.120013,2.510134,1
-0.062407,-0.385768,-2.824796,-2.776616,1.675879,-0.314459,0.115358,-0.38648,2.902468,3.036716,2.960369,1.701289,-2.441732,-0.243146,1.281455,-0.894434,0.726565,1
-2.4387,1.065911,2.504468,0.070759,2.596826,-1.786518,4.829039,1.524906,-1.916584,4.767147,-3.66177,-1.861834,0.226485,-2.908473,-1.569652,-4.649848,-1.354263,1
0.813773,-2.886183,-0.001436,4.564391,0.987827,0.690824,-0.801382,0.206261,0.479878,0.639125,-0.967185,2.682613,0.731553,-1.037445,2.18085,-0.208222,0.072797,1
0.903557,-0.653015,0.768334,-2.976378,-0.940739,-1.706342,5.330557,-2.147793,-1.414464,-8.437373,-1.156698,1.182192,-1.149042,-2.683829,1.086384,-3.803709,-5.993544,0
-1.507987,4.90783,0.972395,-0.383555,-2.977515,-4.220053,-2.237478,-1.576949,0.137799,-1.817682,2.636037,1.495654,2.61315,-1.100177,-1.486826,1.64662,-1.809124,1
-0.515879,-0.845641,-1.870295,-0.041695,-0.078412,-2.820915,0.310397,0.282177,3.837988,1.014818,-1.146148,5.125184,1.438,-1.157606,0.734619,1.125522,-1.60424,1
0.058048,-0.686986,1.00835,-1.598055,0.1123,-1.206121,-0.628731,1.460794,-1.070711,0.398478,-3.183118,-1.136555,-0.947578,-0.138504,1.326444,-0.843134,1.096929,0
0.136399,-2.837097,-0.234317,-1.048754,-2.272743,-5.61703,-2.248162,0.619368,-1.483812,0.669383,-5.889083,2.87185,2.041296,0.701401,1.826649,-6.194082,-3.017256,0
1.826619,-0.033286,1.549853,3.760046,-1.296365,-2.357504,-0.997621,3.162641,-0.744707,-1.085586,0.511921,0.877748,2.888354,1.329812,1.059811,1.309828,-2.116989,1
2.123723,-0.13698,2.937193,-1.905884,0.826466,0.065421,2.480379,0.091135,2.321487,-2.507756,-0.888811,-0.55397,-0.29991,-0.084302,3.136051,-2.470914,-3.189823,0
1.554906,-0.632777,2.196047,2.33798,-0.554463,0.033329,-0.536406,-2.346018,-4.59607,-1.097273,0.443902,-1.697009,-0.828726,0.69005,-0.351845,0.513159,-0.529686,1
-0.29361,1.899082,0.789716,-1.271665,0.586397,-1.776202,1.358757,2.194531,-0.733898,-4.927099,-3.87491,2.260565,1.580796,0.124163,-0.178942,-0.669779,-2.248286,0
2.728846,-1.71213,1.409313,3.258574,1.859914,-1.513072,2.845235,0.735761,-1.027507,0.287804,-2.022607,1.574374,2.753605,-0.162106,0.801834,1.273572,0.638467,1
2.22028,-0.715993,1.29903,-1.57375,1.429832,-1.850847,2.197931,1.458215,-2.245442,-1.168234,-0.822264,-1.967705,-2.420421,-2.249806,1.394382,-1.57883,-4.338966,0
-0.364118,0.404677,2.480233,1.503375,-1.231807,-0.959086,-2.665168,2.466101,-4.742216,0.883019,2.9233,2.179934,0.324509,-0.636383,-3.509795,-2.734889,-3.408991,1
-4.78901,0.315809,1.698787,-1.950701,2.48524,0.384506,2.309951,2.491573,-2.466589,4.080628,-2.105761,0.670246,-2.411737,-4.000178,-2.527574,-4.486325,-0.32482,1
-1.590591,1.349582,0.649131,-1.391963,-0.783998,-2.916064,-0.461988,2.323585,2.623654,2.378098,1.950056,4.578591,3.029202,-0.929722,0.34799,1.719208,-0.642734,1
1.108191,-9.151291,-4.837313,0.132111,0.063338,3.825032,3.925203,2.575647,1.717481,5.950355,-0.825393,0.122259,3.720423,-2.821794,2.443886,-0.446721,1.359808,1
2.922854,-1.723054,0.28968,5.246572,-4.446259,-1.693261,-2.67749,4.056059,0.140771,2.311368,0.36901,5.921146,6.143524,-1.514786,4.053312,-1.51651,-0.695925,1
5.392155,3.573993,-1.218797,-0.354674,0.769792,0.71651,3.401695,2.268239,1.348676,-4.62833,2.208523,1.448292,0.579783,-2.635268,-2.728766,-1.114461,-2.298749,0
6.746273,-2.323732,2.771146,-1.687776,-2.464277,-1.757413,1.969383,-1.643082,1.763326,-1.708511,-1.298811,-4.238186,2.629092,-0.706864,-3.048508,3.071825,-2.028661,1
0.970918,1.282013,-1.896213,-1.586759,2.098197,-1.421993,-2.761308,0.654311,-2.724481,3.089047,-4.394847,-0.461325,-0.521582,-1.002661,-2.217403,-2.658608,2.462719,0
2.168029,5.772194,0.947211,0.318739,2.550257,0.678481,1.663447,0.975868,5.281686,-3.340681,2.22758,0.747009,-1.351071,-4.063008,-1.195507,4.310496,2.393897,0
1.086607,-0.03362,0.891568,0.422621,1.90248,-0.823642,1.158888,2.699376,0.968922,4.333666,0.0607,-0.679988,-0.231507,-2.908668,-0.176264,-4.292428,0.25445,1
1.465457,-2.137547,3.123107,2.348448,0.085861,-2.331906,0.245175,5.364099,-4.750717,1.75842,0.053244,4.530309,0.766148,-1.658996,-0.644273,-3.400852,-2.19481,1
1.209113,1.109411,-1.90236,-0.995027,-0.275424,-1.084289,3.16346,1.140439,-0.048688,0.545397,3.125862,-3.9593,-2.408946,-0.500786,1.026052,-1.600987,-3.101344,0
0.036377,3.348291,-0.256948,-0.472757,0.604402,-1.859618,2.899041,3.611794,-0.208969,0.296165,0.901749,-1.168804,0.564737,2.95217,2.993067,2.50634,-5.22743,0
2.515231,-1.092701,3.967174,-2.798424,6.012763,3.314425,0.756559,-2.307792,0.391227,-0.379038,-3.282346,-3.349623,-3.42239,-2.600179,1.867481,-0.316387,2.365561,0
4.234007,0.618596,2.915047,5.868112,-0.849906,-2.097055,-0.769734,-1.023643,0.741958,0.730385,-1.661045,1.911362,2.671239,-1.176973,4.144399,-0.957568,0.84135,1
0.83677,2.237107,-0.035508,-1.219863,1.162731,-1.683596,-1.542462,0.95176,1.527313,1.508295,3.275311,2.907041,-1.605186,0.518188,-1.395819,0.143673,-0.655701,1
1.639718,1.625515,1.491892,-4.096845,-1.155771,-0.139212,0.155176,0.623787,1.369361,-1.426,-0.14279,-1.22358,-1.085772,-0.690778,1.861855,-2.421408,0.408178,0
0.546182,-1.047673,0.64499,-0.000005,1.149966,-1.405946,0.983442,-1.010104,-0.438902,-1.332211,-1.196356,-2.579228,-3.492615,-3.208725,0.714627,0.644718,-1.839236,0
-1.780593,0.499862,2.729147,-0.630702,-3.333686,-0.389464,-1.604993,-2.071539,-1.110352,-0.872584,1.242057,-3.126301,3.050746,-0.161613,0.261965,0.799954,-0.794518,1
1.955409,-0.990076,-1.491226,0.084849,-0.652723,-1.547955,-2.188181,1.367741,2.355095,1.371473,2.960368,0.876148,2.149771,-1.195998,-2.638528,-0.669178,-0.736819,1
0.951149,2.809977,-1.13996,-0.048384,4.408539,1.490566,0.334937,0.227731,-1.545491,0.506286,-2.307946,-0.32865,-0.767421,-2.00975,-3.167676,0.617036,1.372091,0
-0.207961,-0.439118,-3.987312,-1.180359,-4.664179,0.312932,2.409387,2.388892,2.934968,4.736914,-0.266627,-3.677556,3.094278,-1.683764,3.241426,-3.486038,3.623547,1
2.363557,0.051204,-1.490695,-0.969488,-2.125289,-3.423567,1.865917,-0.079229,3.091042,3.275963,-0.576024,0.43873,-0.09388,-1.488703,2.241028,-0.796478,1.122118,1
0.78922,-3.039564,-3.771801,1.5317,-0.762207,0.212637,1.624875,1.992385,1.658189,4.414391,-0.967131,0.723699,1.038208,-1.071139,1.029301,-1.198607,0.383398,1
-0.080025,1.795422,1.671757,-0.504673,1.251285,-0.74804,0.993194,-0.806352,1.383529,2.399704,0.879722,0.938736,2.324474,-1.045127,0.296134,0.050291,1.54758,1
0.84703,-0.897177,1.761859,2.028259,-1.792207,-1.121565,0.874119,2.085017,-2.147035,2.892208,-2.097635,-2.979908,-1.997905,0.213844,-0.402008,-2.190065,-1.391168,1
2.703155,1.221453,-3.401301,1.437423,0.470019,-4.200557,0.689111,3.065435,0.597563,-0.404738,-2.987853,1.785685,2.616232,1.20782,-1.502982,-1.869123,-3.337642,0
-0.698409,-0.405262,1.128099,0.108395,-0.798246,-0.058107,0.091149,-0.722456,-0.117317,0.131685,1.018845,-1.528441,5.434415,-0.623141,-3.356475,2.618299,-0.769225,1
1.433131,3.493419,1.028159,-2.250976,-1.939082,-1.032968,1.79507,-0.168233,0.453277,-1.170853,-1.780991,3.485308,0.869106,-1.099506,1.122764,-1.455522,-1.465705,0
-0.965585,0.82313,0.066424,-2.488655,1.472576,-0.724822,-3.449348,-0.094094,0.942996,7.472528,-5.132772,-3.473668,-2.610751,-0.667681,0.924202,0.0199,4.141726,0
1.817235,-4.487765,1.562857,3.884692,-3.273461,2.460478,0.214373,2.350597,-1.408841,1.943681,-1.940085,-1.590535,6.085863,-0.2134,0.68503,0.913544,-1.51729,1
-0.156199,-2.115905,-0.893796,-0.999585,-2.166679,0.271287,1.363173,0.714667,3.811276,3.440759,-0.673089,3.258324,5.178659,-1.665131,-0.401873,2.718783,-2.128954,1
1.854916,1.634163,1.958619,1.354433,2.017586,-2.66693,-0.709755,2.190994,0.498271,3.812469,0.920702,2.515749,-0.725161,-1.657139,1.644968,-5.768201,0.360852,1
1.196561,2.730858,0.470017,-0.430255,1.29628,-1.352541,3.202088,-0.11944,1.65369,-5.347235,-0.74011,0.903248,-0.341965,-1.899769,-0.794681,-0.789673,-2.757173,0
2.708713,1.347763,5.615686,-2.682577,2.828278,0.193966,0.234739,0.800967,0.270608,-5.689314,-2.87711,2.978838,-0.165658,-3.331513,1.562626,0.88265,-0.023002,0
0.490459,-1.162684,-1.663498,-1.892873,0.378331,-7.343201,3.267482,1.150095,1.148804,-1.560549,0.490714,5.060707,1.487914,0.247175,0.075772,2.272846,-2.032551,1
1.778079,1.64899,-1.290215,3.058393,-0.304468,-1.715508,6.908329,-2.273971,1.766133,-7.028858,2.196161,1.992646,-0.262437,-1.918874,-1.465007,-1.470991,-5.501821,0
0.84998,1.566817,-2.529932,1.587698,2.324976,-0.7071,2.629387,-0.95203,1.888839,-0.34971,1.235216,-2.170887,-1.83776,-2.250493,-2.787705,-3.199768,-0.587642,0
-3.385974,-5.440427,2.011769,-0.110866,4.006012,-1.108991,-0.457264,-2.090698,-2.168265,4.316249,-4.108783,-7.236809,-5.350113,-1.963873,3.959098,-2.993741,-2.798875,0
2.379187,0.44089,4.203051,2.036545,2.648228,-1.641379,0.466271,-1.214094,-1.545519,1.00244,0.690496,-0.716196,4.152514,-2.469568,-1.451675,-2.838939,0.408331,1
3.769802,-3.077845,2.145434,4.036339,-3.162882,-2.604729,0.191304,0.134526,-0.514794,-0.70857,-1.181416,0.895582,3.54047,-0.031334,3.128955,2.741184,-2.407695,1
0.541856,-0.507716,-0.98761,0.352421,0.072194,-3.576643,-0.48113,1.829875,-0.812438,-0.11411,2.248025,5.419249,-1.524827,-0.815827,-0.640975,0.075009,-1.02002,1
-0.721317,4.541337,-3.832835,-0.265421,-2.741081,-3.377228,2.143272,0.156773,2.9653,5.179913,0.218289,-1.321937,-1.330556,-0.220671,-0.470188,-0.884585,-0.482999,0
-5.926204,1.589928,3.3112,-0.973689,-0.590374,4.166679,-2.362234,-2.082217,-0.657168,3.81933,2.354523,0.220526,3.387746,-1.927763,-0.93394,-1.503516,0.251763,1
0.18652,-1.983731,1.496026,0.834927,0.974945,3.299003,-2.485891,1.912588,-3.144735,3.499574,1.990843,1.859839,1.011252,-3.8133,-3.6651,-5.026937,-0.595866,1
0.252675,0.368023,4.811131,0.782129,3.970963,0.984318,-1.504429,1.696188,-0.582939,-4.275417,-1.738579,0.741175,-1.55739,-4.945398,-1.043756,-0.495244,1.45483,0
-1.495086,-1.315217,2.948389,-1.528409,-2.16474,-2.119465,2.394365,-1.869223,-0.088041,-1.105579,-3.692085,-0.398613,-2.41306,-2.257678,3.583381,-2.611367,-3.853488,0
0.706305,1.916616,4.355246,3.64193,-1.749422,-1.862657,-4.158258,-0.197857,-3.561172,-0.615373,1.32638,-0.192584,-0.426605,-0.759354,-1.947686,-1.476399,-2.454782,1
-2.301616,0.455128,0.71191,-0.781517,0.367524,-1.608129,2.442614,-0.792635,0.029905,1.807464,-1.555691,-2.683652,-2.805985,-1.714373,2.084571,-2.57008,-3.963355,0
4.832911,2.955112,5.520775,5.539565,0.53474,-4.395564,-1.578437,1.970869,-2.311692,-1.161145,2.005676,1.700321,0.192889,-0.52379,2.910529,-1.987932,-0.515853,1
-0.985393,1.253443,3.447593,-2.906952,0.410266,1.257818,-1.998897,0.862285,0.640821,3.004308,-0.874762,-1.190831,-1.590513,-1.990371,2.439209,-1.447042,1.454338,0
2.551949,4.784819,-1.044713,0.215405,0.06128,-0.847874,4.280823,1.627616,3.762809,-2.652661,0.578242,1.594435,0.751854,-0.763157,-0.593681,1.128501,-2.869295,0
2.302047,-0.885778,2.548216,1.430101,-3.005879,-3.297399,-1.450231,1.628028,-1.883966,2.121593,-1.820522,0.984771,-2.555362,1.711599,-0.250978,-1.154295,-2.693806,1
2.481155,0.376915,1.10887,-0.720512,-3.114323,-2.424168,1.697467,3.951652,0.824036,-4.249071,1.864289,-0.264003,-0.30789,-0.13574,1.933952,0.297453,-2.208491,0
2.312779,-1.865485,2.086899,-2.06265,2.236252,-1.963753,-3.235174,2.468868,-4.296195,3.828579,-5.401094,-0.371526,-1.108014,-1.312994,3.237157,1.455508,0.023511,0
0.454011,-1.005108,1.169625,-0.524536,-1.771879,-2.283392,-0.78077,0.233465,1.675853,1.639179,-0.3012,1.978862,2.461493,-1.10581,-0.389869,0.907444,-1.185415,1
4.415715,2.944065,5.451253,-3.019351,2.053899,1.713242,3.613179,0.914699,5.772447,-4.010942,0.387502,1.928279,0.541285,-1.343187,3.761041,-1.143934,-1.206328,0
2.175664,0.329987,2.662353,0.272803,2.875959,-0.36872,1.23936,-1.167072,2.969842,1.563336,-1.99376,-1.541511,-0.729959,-1.179249,-2.619294,-1.364667,-1.56035,1
1.551694,1.652847,-2.431989,0.679217,-1.986338,-2.719181,0.975079,-0.956242,-3.273587,1.049572,-1.535886,1.654298,-0.898324,-2.421093,-2.914717,-4.090025,-0.589995,0
1.338325,-6.103483,-2.74621,0.913253,-6.01361,-0.296201,-0.279036,3.874143,-0.769186,-0.562176,4.633988,-0.739515,6.741962,0.181024,0.804102,4.300009,-2.082824,1
1.42871,-1.382292,-1.003853,0.438327,-1.922766,-0.781598,0.999265,2.621998,3.982014,0.475603,-0.016777,-2.906905,0.63255,0.337707,2.850423,-0.264111,3.981701,1
2.871303,2.289308,-5.402776,-1.201001,-3.751116,-1.405189,0.569958,3.068143,0.48454,2.776491,1.131432,-2.884559,-0.274423,0.647716,-1.484777,-1.54626,-1.862565,0
0.211808,0.802543,2.5269,4.190274,-1.963643,-0.203472,-3.517421,1.725534,-7.787262,1.753002,4.321538,-0.341338,-1.554529,-1.691353,0.7001,-6.515491,-0.044969,1
2.595896,4.406789,4.222205,2.424758,1.367737,-3.72407,-2.712237,1.00892,-4.669527,-0.188183,1.615508,3.420049,-1.292096,-1.508137,-4.60428,-3.350991,-4.441819,1
1.204362,-3.317673,1.280201,-3.861566,1.329975,-1.407881,-4.109179,1.947694,-3.05949,2.159399,-4.838983,-3.058061,-0.663871,0.727093,2.637474,-4.104245,-0.40135,0
2.32774,-2.394063,0.643846,-3.9609,1.225428,0.980238,2.644041,-0.239374,1.505796,-2.349272,-1.562626,-4.357356,-0.517399,1.939619,2.786301,-4.904718,-4.977043,0
-2.012845,-1.878322,2.369589,-1.774948,-2.035266,1.408157,-2.054503,1.351556,-3.801024,2.169863,2.783963,0.523975,1.598657,-0.091032,-1.983506,-0.727387,-3.048941,1
1.574012,1.246266,3.084921,-4.978657,2.07558,3.662285,-1.214897,1.477772,1.90511,0.670819,0.605905,-5.145211,-2.916962,-0.982288,2.572251,1.038178,2.658045,0
0.533162,0.761694,0.392999,-1.218212,2.133234,0.239871,-0.392854,0.967394,0.071535,-3.166574,-3.104521,-0.273753,1.293671,1.403207,-0.790829,-2.725218,-0.274404,0
0.596795,0.751614,3.085349,-2.090429,0.808607,-0.695474,-1.193299,2.691384,2.052065,0.078529,-0.029598,-4.066236,-2.586932,-0.469547,2.118698,-1.016407,2.149604,0
4.814666,-2.51928,1.501931,-4.769587,-0.106936,-0.083259,0.639731,1.941698,3.359499,-3.076794,-1.768837,-2.960217,1.408061,4.034075,3.83182,-4.246033,-2.856711,0
-0.368793,-0.352683,-0.02273,-3.478767,-1.642416,0.89242,-0.517518,-1.019002,-1.117785,3.132288,4.11004,-0.937742,2.896182,-0.577286,-2.28174,-1.034474,-2.10815,1
0.450917,-1.003778,0.723093,1.558781,-2.266765,-3.889055,-1.799221,2.7449,-3.010934,-0.812753,2.804694,2.289271,3.075972,2.470166,-0.775054,2.607865,-5.405511,1
