@relation art-01-weka.filters.unsupervised.attribute.NumericToNominal-R23

@attribute att0 numeric
@attribute att1 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att2 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute class {0,1,2}

@data
-1.652647,0.386735,3.278229,-0.077978,-4.463035,-1.754684,0.812475,-1.920356,-1.039592,-2.844623,0.118239,-2.455747,4.781316,-4.517859,-1.284025,-1.57646,1.042898,2.92747,-0.627812,0.298513,-2.580915,-2.736583,1
3.153812,-0.455856,-1.517645,4.298505,-4.35552,-3.094048,2.467456,0.698128,2.99156,3.74075,-2.352203,4.860955,1.005411,-3.026643,4.838132,0.397055,1.122671,0.869568,-3.244041,0.043093,3.001605,3.007888,0
9.268379,-0.681501,0.788954,-0.623745,-3.143837,3.119441,1.332325,-0.29979,2.578271,0.459882,-7.197457,1.842071,-4.788143,3.261531,0.87442,7.419727,-4.691019,3.345699,3.821008,-3.066569,-1.452397,2.626138,0
-6.024313,-4.297569,5.642579,-0.602491,-1.294654,-3.743553,1.379456,1.602755,-1.213093,4.611361,3.267903,-3.099679,-0.849064,1.539481,1.619964,2.438735,2.561074,1.059256,1.050818,-2.872057,2.275329,-0.202345,1
0.629309,-4.730591,1.408629,0.772086,-0.694247,-0.784798,1.183517,-1.508738,1.017719,-0.632013,-0.129866,4.456735,-0.494527,0.666314,-5.746199,5.507946,-3.833465,-0.525953,-2.079046,-3.624959,0.75357,-3.470072,0
3.958355,0.623432,3.172146,1.901902,-2.960187,1.013388,-0.911619,1.203276,0.01035,2.707661,0.169152,2.502403,-1.921937,-3.454392,-0.700395,5.458664,-3.013926,-0.875177,3.278868,-0.835801,-0.99243,3.092038,0
-2.619142,-0.481739,6.624056,-1.924773,2.922545,-3.638675,5.402391,-1.0939,0.109369,0.965324,2.375357,-4.529,-0.501955,4.353699,-4.541639,1.743795,-1.125465,-3.876713,-0.450544,-3.56144,-0.272242,-0.647175,1
-0.641359,3.92181,2.858503,-2.422662,0.765543,2.658698,-4.170987,1.019222,3.259226,-8.342481,5.057558,5.818132,0.848972,-5.242012,-0.002336,-1.682666,4.312743,4.261712,-1.000243,-3.525162,3.078818,-3.57063,2
2.279842,3.527028,1.478693,-2.616424,-3.393406,-4.655293,-1.114123,1.56351,0.504943,4.16126,4.226931,2.123788,-4.038986,1.787963,-1.526056,-5.011123,-1.152697,2.187039,-0.942317,-1.90326,-0.839211,2.489417,1
3.256667,3.463178,-0.487447,-0.398052,-1.844733,1.888694,1.221618,-0.347596,0.668582,0.963973,1.976131,0.120833,-2.282865,-5.168503,6.13069,-0.161738,2.705362,-0.77916,-2.981959,-0.936004,-1.797815,-1.191582,1
2.622189,-3.928104,-1.549273,-4.906607,-0.583891,1.12742,-0.996802,-2.802383,6.257514,2.958126,-3.61618,3.628732,-2.561082,-1.167791,0.062037,0.735384,-3.694942,3.77534,1.234346,-2.814943,-2.524389,-2.478265,0
-4.677542,-0.063582,-0.707309,-4.042538,-1.009637,-0.38318,-3.541151,-2.77061,2.628491,1.122937,2.674739,6.217275,1.922188,3.422793,2.616703,1.339283,-0.80822,3.784736,-3.33879,-1.070486,0.320099,3.019584,1
2.556544,1.231695,3.268954,-1.185248,1.198035,1.364083,-1.580426,0.356525,1.524407,3.726625,-2.168699,7.418896,-1.75227,-3.886598,-2.562135,0.418612,-0.402997,-1.393865,-1.387391,-2.678784,-0.624502,-1.383385,0
-3.765825,1.586601,1.19046,3.776682,4.691906,-4.39677,-3.630412,-0.232599,2.546598,0.852473,1.076237,-0.004015,4.156307,-1.838153,-5.482959,-1.578213,-1.363829,-2.960603,0.571369,1.964563,1.476532,0.363218,0
-1.882658,2.305835,0.341658,-1.10996,-2.010685,8.322475,2.239627,-4.693304,1.345258,-5.785235,-3.151114,3.587453,6.589531,-1.447538,0.902358,1.151487,-0.183812,2.846569,1.237468,-0.34877,-2.855467,-1.475081,1
1.618328,-3.224741,3.041933,1.049393,0.59487,-4.062072,-1.660084,-1.17272,6.106298,-2.583078,0.411307,-2.735435,2.817954,-1.177159,-2.092941,8.386099,-0.169663,-5.604417,-0.357507,-4.112145,1.866756,2.738554,0
-1.888145,-1.091443,-2.256589,1.427696,-3.450207,2.07479,-1.756806,1.370823,-3.146561,3.255374,1.237516,-0.705299,0.989104,-0.828127,6.304231,-0.594143,-0.330239,-3.695822,1.928205,4.340119,-0.198957,0.107278,2
1.346493,1.155936,0.917181,-6.893615,-4.455319,-0.440522,1.183032,-2.191114,-1.623816,-4.532287,-2.717123,0.972097,1.436701,0.4082,-1.800596,1.889138,-3.975197,3.862687,0.325025,2.874155,-1.717769,0.637223,1
0.640159,0.3375,6.20995,-0.259608,-2.177765,5.646643,-0.708804,-2.280091,0.056704,-4.057297,0.797597,-5.431027,-3.373745,1.73737,1.410401,4.15301,2.956345,-0.268749,-3.672823,3.200427,2.790207,0.933846,2
3.251657,6.209263,2.286611,0.967837,2.895381,-1.101794,2.729374,-4.173374,6.762504,-2.217181,-0.019261,-2.136712,-1.774978,1.490531,-1.120589,-0.67848,-3.070941,-0.514765,-5.892826,-3.625616,-4.288187,3.795235,2
2.486809,-0.489288,-1.470316,-3.382926,1.991325,-0.515422,0.909464,-0.107952,-2.189344,-0.94364,1.47376,2.250489,0.655163,0.430568,7.754156,3.254561,-1.07979,1.606096,-3.963018,0.603888,1.821705,2.713585,1
-0.055477,1.528029,-0.291696,1.70421,-1.703565,1.217948,-5.216796,-3.2327,-1.895377,-4.585972,1.032617,-0.586607,-3.083493,-1.732078,0.916366,9.934028,3.777378,-1.583882,5.268231,6.980458,3.727087,2.528579,2
2.602364,0.816779,0.868448,-2.509297,-2.052803,-4.194242,1.52687,-0.859536,0.59639,0.710935,0.423829,-0.29256,0.475884,-4.937637,-1.0811,0.007679,-0.162396,-0.601536,-0.359718,-1.585369,-5.014395,-1.451071,1
8.517595,0.536562,0.016073,2.157111,-2.124623,1.457589,0.796307,-1.389422,4.373411,-2.943445,-0.274181,-1.193437,-1.3773,-0.415396,-1.420989,2.284468,-2.380071,-2.336448,6.171565,4.151565,-0.189643,7.881406,0
2.549583,-4.084081,0.13958,1.726848,0.715812,0.752721,0.983916,0.347676,0.157858,3.223161,0.01215,4.400949,-2.432775,-1.389089,-3.157843,3.873944,-7.606396,-0.971329,-3.54376,-3.523721,3.44861,1.500926,0
-1.841551,2.61129,0.749773,4.518999,1.787162,-2.724619,0.784677,2.305005,-5.439686,4.750029,-2.861129,5.181931,-2.108975,-3.820573,-0.014775,0.180918,-5.557246,4.369945,0.586764,2.016287,0.780442,-1.25702,0
6.131324,-0.836009,3.454562,2.923947,-1.42626,2.756361,-1.783274,0.30094,2.052991,5.368396,-1.618784,7.254868,-3.486526,-0.769049,0.290702,0.212056,-1.828754,-1.303274,-4.328569,-5.043733,0.753951,0.82947,0
1.496728,3.149924,1.025518,0.206413,0.206037,1.141735,-4.575324,-1.571037,1.32311,-0.055814,-2.490082,-1.993501,-1.828417,-1.131028,-2.289409,0.370303,0.34748,-4.321797,0.575651,0.070124,-5.030107,-0.986243,0
-0.448081,-3.09323,0.287761,-0.00078,-1.774917,1.580907,-2.805969,-0.171704,3.189812,-2.235926,4.324127,3.463975,2.275018,-2.353262,2.452503,1.521763,-2.135708,-0.816179,2.525453,1.216977,0.109273,-4.452146,2
2.882972,-0.504472,0.404585,-2.488927,-2.484728,0.602593,3.714179,-0.620256,-0.170367,-1.290556,1.361791,3.037912,1.776723,0.912266,-5.572323,2.167228,1.028343,-1.568471,2.135428,-3.11205,1.440862,3.198079,0
-2.798339,0.886491,-2.211074,-0.434824,-1.101702,5.303185,-4.118296,4.503134,0.383504,-1.413153,-0.867685,-2.596381,-1.859309,-1.244334,1.308877,-2.739872,4.200297,-2.146655,1.210655,1.24357,4.91765,6.559137,2
4.629749,5.503726,3.291934,-3.174561,-3.477451,-1.624464,-6.393594,-6.815326,-1.979382,-3.149965,3.405519,-1.63712,1.055177,2.786489,6.61536,6.717062,1.908719,-0.550224,-4.157188,0.683179,2.033192,4.547767,2
-1.076973,-2.448283,4.290809,2.083807,0.783932,-5.428847,3.613905,4.916716,-2.092861,1.775694,3.501139,-3.468717,-2.438695,-1.107711,-1.038787,-0.869908,-2.387908,-4.179018,-3.39377,-2.766136,0.979647,-1.365268,1
1.831012,2.817521,0.60785,-1.764275,0.609029,0.185063,-2.043975,-1.660672,3.178431,2.195156,-2.510103,0.794346,0.208782,-1.730514,2.298698,-3.763942,0.457058,1.08727,-0.697556,-0.200615,-2.23476,3.226094,0
0.556436,-3.319964,0.45336,0.368638,-7.077485,-0.494617,3.256055,-0.745008,-2.583445,1.463342,-1.955687,-2.532607,-1.613622,-5.469628,2.966819,1.543952,0.428437,0.488227,1.259934,-0.76332,2.190861,-2.213814,1
-2.501179,-2.246332,2.352083,4.204594,-1.860274,-1.10107,0.102947,-1.384204,0.77585,1.662035,0.597776,0.592985,-1.015007,-3.881836,1.460254,1.127885,-0.861563,0.124404,2.202463,2.129713,0.931886,-1.374481,2
-5.168971,-0.529125,3.102692,0.489478,-1.503411,-4.393951,-2.528658,2.409161,4.359587,0.853407,3.188079,1.951805,0.557551,-3.217097,-2.330797,-1.340892,1.758947,-2.058388,1.780967,-1.53932,-0.452953,-1.232958,0
0.237282,0.506261,1.351716,-1.089608,-0.582911,-5.527052,-2.504051,-1.930087,-2.29815,-2.733146,2.220512,0.5681,4.767797,-5.350839,-2.126656,-1.150009,1.289,2.233179,-1.321008,-0.166491,-3.879713,-0.774249,1
-2.021613,0.48,0.516344,0.797998,-2.080569,0.614145,-4.751332,-2.838972,-0.7991,-0.629503,1.068517,-0.522915,0.006851,-0.929118,3.99443,4.76821,2.212626,-3.156778,0.981711,2.348391,1.752023,0.841667,2
-1.406445,0.38834,-1.055257,2.562487,-2.823333,-2.792233,-1.731901,3.250304,1.493022,0.924961,0.465864,0.592919,2.660077,-3.451041,-1.341167,2.059301,1.014784,-1.960447,3.177333,1.257599,-1.353641,0.696717,0
9.037107,5.248927,1.335598,4.393974,-2.844772,2.592487,-1.568433,-2.926291,-0.230418,-0.858205,-3.325036,-3.53545,-3.070534,2.177779,1.431302,3.503068,-2.519569,-1.011554,0.323491,4.806745,-1.023582,4.752059,0
-3.790118,3.711798,3.405289,3.200353,0.386743,1.711447,0.204534,2.029052,-1.489518,0.658804,3.108053,0.701445,2.18212,2.057589,4.105221,-2.603413,1.316593,3.915495,-1.806033,-1.113513,0.251078,2.309164,1
1.28566,1.843353,1.80347,-1.175466,1.578617,-1.620717,1.551019,-3.645805,2.824614,-1.378245,0.645511,-0.307379,1.469939,-4.174616,0.752503,0.925419,3.892535,-2.102193,-1.726337,1.402156,-4.891474,-1.112252,2
-2.128242,-0.831792,-2.134525,-2.914975,-1.208125,0.991943,2.630636,-0.199956,-2.818544,0.830029,2.313454,-3.819411,-2.904266,4.712956,8.974769,1.240367,2.280039,2.375615,-0.958766,-0.914012,5.05119,7.246273,1
-4.377484,-1.217294,2.652538,-1.144733,-3.488128,1.527217,0.035608,0.617354,-1.739505,-0.360365,-3.421129,0.516653,-0.148212,1.996933,3.598726,0.692875,-0.823877,0.766996,1.13301,-0.271909,2.746639,4.203875,1
3.18429,-0.894898,-3.275085,0.402131,-4.695942,-0.925407,3.351977,-0.67722,-2.552376,-1.666529,-0.400261,1.519295,1.879026,-0.91269,1.807189,1.10495,0.886318,3.094211,4.192705,-3.176132,-1.129477,1.955658,1
0.410299,3.092757,1.697142,2.606926,0.821509,2.032521,-2.388959,-0.183149,-1.228764,-4.70466,0.366789,1.89051,3.691806,0.989594,-3.323159,-0.588043,1.183157,2.685348,-1.36803,1.607937,2.545711,1.429982,2
-1.310847,1.858386,3.623105,-0.232666,-2.808752,2.409923,-5.159931,-3.074824,-1.049294,-3.687343,1.456056,-1.433722,-2.805065,-3.866306,-1.043541,4.144727,6.59221,-0.96626,0.981267,1.14998,1.747655,0.786189,2
2.157457,2.249173,3.98695,1.620286,2.363176,-0.728448,0.881539,-4.015158,2.940002,-4.090551,-3.869376,-0.669398,-0.092241,0.304078,-0.11236,0.0465,-0.830063,2.593407,-6.439373,-5.554852,-3.097541,0.429171,2
-3.788932,-4.504141,4.52067,-3.011178,-1.760604,-6.740478,-0.790963,2.149864,4.506939,-0.850304,0.186114,3.303892,1.413032,0.91608,-3.061809,3.49521,-0.932135,1.343752,2.347793,-3.517515,-5.035736,-1.100448,0
0.918226,7.849877,-0.557362,2.879463,2.355767,-0.673967,-1.015918,-2.53604,1.118458,-2.726024,3.289232,-4.330665,0.921909,-1.062842,1.857859,-2.900396,0.839863,-1.803168,-2.616828,4.2826,-0.489719,0.100361,2
9.692002,0.786878,-1.295072,1.375934,1.408198,2.757812,-0.551133,-3.294861,-0.843279,-1.528428,-4.502199,-1.761817,0.081148,-1.264304,-0.0823,5.701584,-2.097979,-2.511647,-2.486881,2.939364,0.940922,3.258687,0
1.283575,-1.076205,3.899404,-0.525165,-2.060869,-1.238633,0.123957,-5.85191,6.379098,0.292628,2.712739,-0.719427,-0.54162,-3.008842,-0.756395,-1.073765,-0.882237,1.527029,-3.956528,0.285647,1.047239,5.595016,2
3.420775,-2.973656,-0.979433,1.122815,-3.295061,0.569094,-0.889955,1.227011,-0.659039,-2.51992,-1.586693,1.138504,-0.162674,0.683895,-3.965803,6.837031,-3.375725,-3.566575,0.778926,-2.680307,-1.621108,2.565849,0
-1.256758,6.602504,-5.470954,6.89999,2.002281,-3.129098,-1.208326,-1.186215,3.450391,-4.343262,-0.515621,-2.567799,4.980869,-0.438495,-1.628219,-1.519567,-1.259303,-2.168599,-1.241234,0.615562,-4.576869,5.960918,2
0.243407,4.495062,3.353495,2.411401,-3.142815,1.981633,-0.050603,-3.923218,0.651171,0.94892,-0.351672,-2.499541,1.080038,-0.457023,-0.440139,0.993883,1.393405,1.734465,-1.94295,-0.50184,-0.368677,4.435141,2
2.780191,-2.107596,-0.544079,-1.885659,-4.894021,-3.24045,6.288621,0.061083,-1.623249,0.780528,-2.235779,-3.572943,-0.130634,-4.629009,2.027685,4.016268,-0.220329,0.097431,1.522385,0.414141,-2.354504,-2.228806,1
-1.173102,2.396865,3.560252,-0.120054,-1.871388,0.366037,-1.696193,-2.206578,-1.444915,-2.667022,4.158133,-1.103994,3.269675,-4.589724,-1.322745,-4.829035,0.667463,0.716536,-0.976755,-2.123842,-1.255553,-0.625996,1
6.327616,-2.02313,2.492303,2.342621,2.077243,1.433635,2.607098,-1.904304,4.632526,-1.232557,-2.46251,3.615516,-1.026586,-2.494017,-1.867664,-0.617632,-4.422854,-3.100415,-1.158601,-2.36035,-2.057035,6.557311,0
1.300972,3.918529,2.724107,-1.34394,-0.079126,1.217609,-0.658523,-2.497807,3.66101,1.639331,0.124181,3.826991,-2.399876,-1.636048,-0.009806,-2.039564,0.189785,-1.235814,-0.975567,-1.071984,1.521531,-0.933402,2
2.230117,2.138839,2.200985,-1.557038,-2.744878,-0.73219,0.667703,-3.505892,3.214577,3.296052,6.270705,5.295595,0.1165,1.179158,0.303265,-4.403276,-2.908369,-1.251824,-3.469376,3.635506,4.026566,9.162502,2
-3.92959,0.767158,3.108077,-2.160517,-6.31993,0.775193,3.500948,3.429722,-1.802045,3.360736,1.694164,-1.565183,-0.607792,4.64171,4.383828,0.42524,1.519373,5.592011,3.885582,-1.026023,2.366623,1.504406,1
-3.696177,-2.027484,1.984541,3.300303,-2.338,0.615339,-2.126222,0.448734,2.70164,-3.1809,2.813507,-0.565172,0.183663,-2.977069,-0.299083,2.263669,0.91995,0.066203,1.517226,0.129875,4.641179,2.361899,2
0.393822,-6.267419,5.796768,-2.445698,-3.588045,-3.717792,-2.177074,0.291039,2.149633,-1.762099,-0.122682,0.805368,1.977159,0.038281,-0.101453,6.554007,-2.004402,-0.708876,-5.246893,-2.509284,-7.673279,0.443648,0
-6.448852,2.909711,1.79404,-0.156543,-1.791136,5.572189,0.015544,0.697591,-9.111294,0.877984,0.371874,-3.967588,-1.218305,0.58144,3.158987,-0.722386,-1.897161,1.557825,0.643101,0.959453,7.080739,6.347851,1
-5.833482,3.543503,0.714579,1.263295,-0.454884,2.049365,-1.553475,-0.95748,-1.650249,-4.390446,0.58881,1.86166,5.210719,-0.880422,-1.237988,-1.271095,1.049172,1.982752,-3.271589,2.172377,-0.40529,0.429749,1
-1.018514,0.528324,-0.483149,3.519844,-1.963094,-4.304453,-2.103467,0.810286,-2.145063,5.108577,-0.688933,4.096962,3.101389,-1.051053,1.603127,0.562221,-2.786009,0.999752,-1.291303,-0.995046,1.491926,3.72192,0
2.939903,-2.899627,4.320981,-2.314251,4.389372,-2.813027,2.344663,-3.548932,-5.934871,-3.20124,0.726236,-4.317813,3.786733,-3.082708,-3.363029,-0.217668,-0.980735,1.592786,-1.458013,-1.429595,-1.633949,0.375059,1
1.054014,1.971808,5.440845,-2.3328,-1.179179,-0.465514,-0.454295,4.536711,0.334469,1.728886,2.804521,-1.258474,-1.434734,0.576684,-4.142443,5.665425,-3.461001,-2.365718,2.217763,-1.9867,-0.141394,1.255777,0
-1.720953,0.821639,-1.125653,3.551263,4.575569,2.152635,3.188053,-1.465109,-1.341771,-1.140864,-5.843221,-7.797196,0.290769,2.151809,-0.227934,4.812922,1.120411,1.559447,-3.920929,-3.247702,-0.323574,-1.216855,2
1.286193,-2.599103,2.809174,-1.445473,-2.823606,-1.354848,-0.317565,-5.364008,0.679898,2.00719,0.523885,1.42592,-1.949172,-2.607324,1.440517,1.929493,-0.623591,-0.51748,-1.865611,3.874914,1.066868,0.428151,2
3.902257,-1.865495,-1.002543,-0.237347,3.627355,-1.648126,1.267936,-1.362945,-0.318187,-2.362813,6.002692,-1.017183,0.30411,-3.184444,-2.818103,0.418337,4.355252,-0.130582,-1.108636,-7.324065,-4.025248,-1.677765,1
-4.19731,-3.869939,2.213048,-1.925091,1.141933,2.631244,1.113901,-4.089523,-1.552312,0.115102,-2.260288,-2.24014,1.907659,-0.994504,-1.221864,-1.18471,-0.151692,0.648012,2.152692,-5.513979,-0.093557,3.043226,1
-3.966544,4.060011,-2.95211,6.324868,-1.865654,0.698301,1.570982,3.135788,-1.249821,0.208783,5.30621,-1.650645,3.806815,1.316556,2.050026,-3.560179,-0.941309,-1.250763,-0.224284,1.097386,1.162466,4.190048,2
-1.077002,4.896913,-3.188618,5.345385,-6.524629,-0.8505,-6.781999,1.199889,-3.114438,-4.34775,5.942427,0.173687,5.611518,-0.729229,6.441802,1.110559,2.548216,1.504595,5.011113,4.67753,0.228907,1.209398,2
9.272821,3.015547,3.937111,1.734485,-2.878937,3.340968,0.560632,2.654689,-4.610628,0.853787,-4.424876,0.210462,-3.740458,2.499523,0.990575,5.094481,-4.064641,-1.52904,0.665906,-3.813734,-3.113882,5.472457,0
5.562079,0.903765,6.792996,-1.58047,-8.673138,-0.643903,3.131177,5.844876,2.40723,1.970124,-0.786139,4.824078,-3.612397,6.091972,-0.816698,5.093148,-1.536848,0.527718,7.130286,-6.205927,-3.982237,3.474595,0
3.604703,2.390893,6.9244,-2.430932,3.501107,3.434561,4.082668,-2.371554,-3.935429,-0.837428,0.191523,-3.218254,-0.93862,-1.502961,-0.565496,-2.070267,-3.335493,-1.196211,0.147779,-1.457444,-0.107271,0.261103,1
-3.451118,2.474902,2.877189,0.668961,-3.262524,1.990323,0.046272,1.880337,-1.236505,1.212827,2.248572,-0.905192,-0.01517,1.763321,4.115892,-3.31651,1.800858,2.872996,-1.685202,-0.479232,2.479788,2.819909,1
