@relation art11-weka.filters.unsupervised.attribute.NumericToNominal-R10

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute class {0,1}

@data
-0.881934,-0.305543,-0.767106,-0.700004,-2.771178,-1.06167,-3.333876,-0.692872,1.090288,1
-3.495699,-3.658323,3.92803,-1.006586,1.978262,2.188827,2.387253,-3.212853,-1.550791,0
-0.991042,0.328486,-1.606682,3.172533,-1.975808,0.937776,1.753934,-0.816405,-3.068245,0
0.587676,0.385481,0.589858,1.495146,-0.014417,1.594914,0.104157,-1.275145,-3.101064,0
-1.072755,0.759328,-0.559999,2.096762,0.806591,-0.731221,-0.157221,3.442578,1.015946,0
-2.206533,0.796847,0.004892,-1.468834,2.03938,2.919534,0.548578,0.162259,-1.581894,1
-4.10625,0.958403,2.366306,2.7822,-1.085336,0.525381,-0.648219,1.46937,3.076962,1
-0.980026,-0.726521,4.370818,3.29752,-0.089157,-1.926112,-2.163204,0.802891,2.398995,1
-0.911301,-0.13949,2.271699,0.172075,1.199755,0.566483,-0.376063,0.663947,-1.452469,1
0.985572,-0.392678,0.976974,0.92962,4.2742,2.060877,-1.111405,-0.63585,1.180052,0
-2.97227,0.442523,1.295469,1.698879,1.296679,1.801666,-0.199703,0.548164,2.175176,1
-0.175204,0.131521,0.282383,1.90716,1.635447,-1.516141,-1.938967,0.276198,3.090992,1
1.755718,3.110872,-2.332798,1.825336,2.863412,-4.316342,-0.647973,2.118696,1.882056,1
-0.050916,0.511225,-1.876972,-1.021971,2.000724,-0.022538,-0.487869,-0.394673,0.49256,1
-2.36697,3.351915,-0.874603,2.84024,-1.954509,-5.301749,-0.29202,3.596343,4.278941,1
-1.133517,-0.760981,2.897822,-0.149929,2.776434,0.910133,-0.861609,0.106576,0.117648,1
2.595804,-1.339819,0.308418,0.973512,1.93553,-2.133691,-2.003081,1.736913,-1.393906,1
-1.564573,-0.019881,-0.633414,-0.925412,1.894577,-0.182071,1.201132,1.211654,-0.390264,0
-1.393035,0.963227,-0.281485,3.522532,1.19374,2.208855,1.963475,0.012132,-0.220798,0
2.323905,4.067323,-0.258788,2.321693,3.764725,-4.485641,-2.29088,1.150513,1.30255,1
-0.93333,2.419904,0.94132,3.593964,-0.385343,-4.936456,-0.298095,3.648779,2.758434,1
-1.024601,0.043953,0.26714,0.386278,-0.998277,0.102588,3.137595,-0.907478,-2.173406,0
-0.676056,-2.432023,1.598712,-1.636758,4.307757,0.924777,-2.011352,-1.869598,-1.99859,0
-3.598718,-3.494806,0.482501,-1.365251,0.548562,-1.184855,1.407724,-0.961626,-1.807214,0
1.674244,-0.323063,0.662265,2.442527,0.909114,2.114753,-0.44156,-2.634303,-2.702376,0
-0.018642,-0.066082,0.065815,2.484688,-0.631658,0.64744,1.074225,-0.004952,-2.343686,0
2.507507,2.33068,-1.307104,0.735118,1.483759,0.028553,3.988581,-0.425638,1.245463,0
2.070677,1.186152,2.363208,1.180069,4.225164,2.89503,-1.780226,-0.345051,1.283942,0
2.457548,-0.445189,-0.583788,-0.580819,5.238742,1.882087,-2.392571,-3.687705,-2.190365,0
1.105313,2.440292,0.367309,1.717923,2.240466,-3.634689,-2.82867,0.602696,2.231538,1
-0.63686,-1.259385,0.603517,0.1179,3.828673,1.764594,1.733472,-0.917879,1.698768,0
3.133692,4.291111,-1.845377,-0.953087,3.322221,-1.227755,-3.275979,-2.436352,-2.09944,1
1.116527,0.423917,-0.180034,1.758966,1.010969,0.584725,0.283904,-0.334305,-0.655304,0
1.500042,2.225451,-0.302114,3.921506,-2.107391,1.418136,3.155089,-0.983424,-2.024413,0
-1.710623,-1.954736,0.507412,-0.114656,-1.698878,0.657942,4.607462,-4.060038,-3.987311,0
1.287478,1.479546,-0.948351,0.178775,4.221923,-0.602395,0.406139,1.16543,-1.22675,1
0.121629,2.510254,2.318387,2.458995,1.933914,-2.653833,-2.192865,0.855834,1.711524,1
-1.784098,0.549418,1.146501,0.997512,0.968843,-0.687299,-0.899369,0.957384,2.043334,1
-2.792625,-4.225093,5.053282,-0.411834,3.618819,2.768024,0.641975,-2.93613,0.65738,0
-0.432143,-1.429385,0.169941,1.986013,1.571678,0.940954,1.416868,-0.329672,1.373413,0
-0.886157,1.756536,-1.515346,-0.412244,0.015719,-0.412587,-1.321892,-0.333691,0.549452,1
2.229245,0.791127,0.796079,1.709366,-0.232895,1.259601,-0.866941,-0.58021,-2.238294,0
-1.842201,2.21577,1.70771,-0.423727,2.832212,1.447189,-1.378968,-1.300189,0.692401,1
-1.178872,1.37403,1.686306,2.235285,-0.860594,-2.368152,-2.351585,0.6916,2.433719,1
2.038465,0.450495,2.205365,0.545809,1.104994,-1.21638,-3.689446,-0.710991,-1.747719,1
0.74754,1.252815,2.047907,0.657093,5.251926,-0.490903,1.229483,1.577103,-1.974199,1
-2.042845,-3.027522,3.16829,-0.356815,0.588399,1.485481,2.122374,-2.494859,-1.124216,0
-2.752012,3.448583,2.718539,3.580711,2.926116,-0.252635,0.266252,1.407619,2.716518,1
2.60659,1.121151,-0.469162,0.811054,5.293531,1.984643,-3.329973,0.735794,-0.726634,0
-4.5462,-4.004058,3.690999,-1.181391,1.612067,0.498655,3.611317,-0.199622,0.786898,0
-1.475944,-1.56411,1.032003,1.697787,0.425608,-0.270216,-1.923195,1.413005,-0.788348,1
-3.733092,-3.805749,2.542183,-0.353868,0.913838,0.441304,0.891683,-1.460098,-0.987843,0
