@relation art-17-weka.filters.unsupervised.attribute.NumericToNominal-R21

@attribute att0 numeric
@attribute att1 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
7.795692,1.178594,-1.790776,-0.431666,-0.654714,-2.244752,-0.934813,-2.817951,2.978258,2.711534,-2.36144,-1.062514,-0.110944,-1.113641,-4.396071,3.41351,2.519133,-0.487239,3.572116,-4.07418,8
-0.778522,-1.209716,-1.940636,2.605947,0.334021,-3.78396,2.447377,-3.986296,0.083265,5.232173,-0.233407,1.724536,4.073762,-3.232998,2.947161,1.275778,-2.313046,1.52928,1.442328,3.41139,3
3.223031,-4.839614,2.714687,-1.347266,6.36407,-2.894394,-4.971676,1.001311,-0.21155,-1.374741,0.870709,1.564093,2.458688,-4.424706,3.228549,-4.602329,-4.007238,-7.382864,-0.853631,3.692282,3
-4.409756,1.537038,0.591362,3.397207,-4.458813,4.953543,-2.919075,-0.018137,4.599803,3.250501,-1.560753,-0.488344,-0.017172,1.235683,3.770444,1.666511,-0.397417,-1.955712,1.983769,-2.25539,4
1.548644,5.880453,-0.900373,6.485666,-0.864211,1.561443,-7.890764,-0.131321,-5.458287,0.527946,2.566033,1.98045,-2.070144,3.674009,-1.961487,0.20774,-0.097733,2.517169,2.060677,2.681917,0
1.775976,4.277249,-2.524261,4.258283,2.087892,0.963276,-2.21891,0.089399,1.920221,-5.349835,-0.420196,3.82275,-0.417406,0.629676,2.72911,3.057069,8.111235,-1.67827,-3.606346,0.59609,2
3.098579,2.857492,1.374195,4.208148,-0.165231,-0.95039,2.677085,1.885223,-2.424669,-0.699776,-0.888886,5.083621,0.506943,-0.815282,3.98751,-2.069328,3.863504,4.711865,0.411753,2.519401,0
-0.971223,-0.082051,-1.917535,-2.391195,6.809106,3.503011,1.466384,-5.936459,-5.97804,-1.083031,0.952214,4.008481,0.572542,4.585224,0.091653,1.412839,-4.601229,-1.45573,1.091029,-0.478565,1
-0.469436,0.055901,-1.943339,-0.851872,1.893759,-0.729181,0.177273,-1.242589,-1.522597,0.274209,-2.201802,0.48668,-2.2571,0.456365,-0.891469,0.263954,-1.654878,3.474933,2.794015,-0.87546,3
5.112502,2.311783,3.836011,0.156314,0.540281,-0.084675,2.759353,3.349381,-7.837188,2.704171,5.242578,-1.07297,-0.666621,-4.327523,-2.490143,-1.554495,-2.094648,-0.309223,3.199432,-3.515772,2
4.88422,-2.972975,0.736245,0.980926,4.353773,1.545179,1.525849,3.541285,1.668124,2.296539,6.31981,-0.218864,-0.607045,-0.25939,2.781701,-1.187796,-0.494896,-2.618117,2.762824,1.95006,0
1.480453,-1.176525,0.937508,3.003786,-2.490402,-6.151553,-2.136298,0.748234,3.277782,-0.520671,-0.06616,0.263278,1.496916,-4.619486,1.74356,-5.17226,1.655379,-0.067354,-1.513797,1.065795,5
2.405969,-2.330867,-4.794485,0.16151,-3.072084,2.414563,-2.728934,-1.882127,1.846828,-0.058498,1.528523,-0.957363,-0.613109,1.985547,2.96023,1.610798,-1.167269,2.452865,2.188129,2.064013,8
-1.684692,-0.625421,0.231267,-2.405174,-2.262028,-0.156126,1.273394,-1.044145,-0.967453,-0.080606,-0.344804,0.969437,-1.004055,1.781304,0.808705,4.108462,-0.603233,-6.998776,-0.374374,2.706558,9
2.027967,-1.121556,0.013474,-0.651554,-8.595466,-4.521223,1.357782,0.964319,-1.213267,1.199493,2.350338,1.089545,-1.187695,-0.530412,5.499504,4.120135,-0.177905,-5.745493,3.87314,1.260929,9
4.298745,-1.374667,-2.196222,1.864551,3.804216,-3.742453,1.177276,-0.32507,1.257602,0.570129,-2.614405,3.982636,-2.718852,-0.952375,3.328011,-3.810548,2.148277,-2.957593,-0.323845,-1.001055,0
-1.719546,3.242936,-3.587937,-0.095471,-0.981873,0.915139,1.067992,2.173111,-1.665583,-0.62597,2.512779,-1.205227,1.452171,-8.343839,-3.080514,-0.92649,-5.310266,0.916029,2.758215,-1.137558,1
-3.410427,-0.995719,6.828878,0.145761,1.452468,-1.481329,-0.890748,-0.622218,-0.923074,-1.996227,0.169977,0.5685,1.814929,-0.811707,0.234415,6.072021,0.025477,3.286953,-3.277849,1.800349,6
-2.7702,0.005876,2.235338,1.382738,2.340436,-0.991754,3.977723,0.726233,3.131854,-3.105288,-2.387167,5.45519,-0.561381,-0.978715,0.077929,3.283746,-4.003194,-1.353806,-0.603483,2.862938,9
-1.277973,1.133227,0.577162,1.78043,3.621427,-6.784379,-1.977702,-1.348731,-0.822818,-3.101722,-2.105603,-2.535532,-0.025869,-2.576717,3.580089,-1.470974,1.287876,1.977619,3.255705,2.3545,6
0.355771,1.690786,-2.140047,-0.183965,5.243774,-0.260238,-6.401078,-0.298737,1.708007,-2.330602,-2.129574,1.937891,-3.206189,-3.315897,-1.268616,6.668792,-2.8862,-5.940599,0.968541,-5.20284,5
4.042909,5.436643,-3.705699,-1.356909,5.231436,-2.090414,-0.473489,-4.494805,2.418425,-5.664299,1.209609,3.476533,-2.47571,1.350809,0.520509,4.254874,-6.753396,-1.257747,-2.823366,-0.225008,5
3.019578,-0.551087,3.970351,5.825338,0.290155,-3.466116,3.549773,-1.630005,2.07451,-4.252015,2.44448,-1.978191,-1.393271,-3.78218,-4.933971,-3.729342,1.861989,-0.84485,4.470692,3.343719,7
-0.085866,-0.270359,2.336838,3.403125,-0.694887,-0.54636,0.23363,4.581388,2.737287,1.797044,-5.068832,4.298576,-1.394639,3.523068,5.149332,0.054701,3.184406,2.921798,1.903156,0.269514,4
0.544952,0.972083,-2.286399,3.434131,-0.144227,1.401844,-0.700651,-2.084293,-1.178622,-1.308767,-2.60255,-5.547106,3.292368,-1.355182,-3.800541,1.548707,-1.695513,-2.259961,0.831263,0.615078,6
-0.772561,2.690633,-0.46952,0.156038,2.561519,2.599452,-2.346094,6.092488,-4.465721,0.432665,-3.943091,-3.331301,4.447929,-1.419684,2.806651,-1.602235,2.253669,-0.788427,1.195655,3.855282,1
-0.562167,3.6545,-0.530622,1.637665,0.952537,1.284999,-0.878398,-1.994608,1.222913,-1.831838,-1.34002,0.348123,-0.130097,1.142085,1.766498,-3.182537,1.139222,0.162722,0.059013,0.134866,0
1.888185,-5.450631,-0.181639,-6.903749,1.367322,-2.945774,6.061751,3.11066,-1.707747,-1.991152,-5.109787,-2.307833,2.696912,1.713027,0.896255,-2.834949,-0.574789,-0.012835,-1.295514,-0.950675,4
-0.76254,6.331017,-0.269444,1.313505,2.374774,-1.248802,1.581418,1.605297,0.841194,-4.50558,3.144423,2.559698,-3.239363,-1.506091,2.837866,3.353406,-3.429413,-0.840492,-5.945992,-0.478642,5
-3.346281,1.77573,-2.609522,1.613864,3.669432,0.196468,-4.766877,-2.785011,-2.557113,-1.605089,-2.799202,2.666622,-2.247983,-2.713737,-1.258785,1.567589,-3.428357,5.501508,-3.51588,0.155716,7
2.474845,-3.852394,-0.011904,1.376447,-3.564279,-0.839116,-5.082071,-1.712582,2.552098,-3.155157,3.699975,-3.705763,-4.914087,2.977182,-2.308203,1.306256,1.31731,0.954119,2.383507,-1.995993,3
1.432442,2.187079,0.214991,4.926734,2.788354,0.25074,-3.112974,-4.108723,-0.85436,-7.340697,0.830822,-2.876554,0.391148,1.471168,-1.983603,-1.933863,4.418508,-1.33631,1.386244,6.357386,0
0.571212,0.862745,0.795971,-2.895418,-2.465384,-2.707309,3.886237,1.160513,-3.210942,3.64449,-1.792719,-2.614705,-4.869939,1.730735,-0.110864,-0.263819,-0.744528,-2.222684,-3.083974,-0.594427,2
-5.331949,2.810755,-1.948079,-3.352015,-1.577293,-2.694128,2.672485,0.381371,2.041031,-1.987884,2.604424,-0.485347,-8.319603,2.40701,1.968866,-0.495306,-2.965776,1.917125,-7.302509,2.737147,2
0.321952,4.111196,-0.074848,0.887159,4.421258,1.883947,2.321581,-1.36017,-1.941428,1.277048,-3.937285,2.295386,-2.624481,-1.608726,-1.475955,3.314787,0.711416,4.611353,3.867658,0.696526,3
-4.647206,-0.174517,-1.813257,-0.704128,5.614926,-5.13735,4.052456,-4.341415,2.041125,2.54717,1.117996,2.903248,2.083686,1.17602,-3.39149,-1.84853,-5.459318,-1.637642,3.621665,-5.616915,1
-4.328044,0.418228,5.317335,-3.654879,-7.201296,-7.372953,-5.45029,-3.061902,-1.934298,0.065151,4.101403,-6.107481,-5.214483,1.982643,-1.322579,4.378456,-3.139055,-1.580313,-3.539688,5.987241,6
-5.685865,0.634535,2.799169,4.892226,2.523908,-6.134229,-8.816952,3.543587,1.591557,1.640754,-1.165416,1.956411,-3.631723,-1.861372,-1.363813,2.789439,-2.535907,-1.737164,-2.609433,-4.648337,7
2.453674,-1.120302,2.381202,6.933517,5.693099,-3.061374,0.175415,0.723266,-3.70396,1.903391,-0.319678,0.848045,-2.873327,5.26547,-1.753098,0.639034,1.824054,-1.054873,8.479309,-0.563607,5
0.960472,4.270487,-0.584889,-2.782281,2.687175,0.532615,-0.684158,-3.228134,-1.640576,-0.849311,-1.769536,1.372113,-2.866872,-0.787542,-2.234698,0.870612,-1.423411,3.970133,2.528807,2.978231,8
1.484973,-1.701248,-1.831594,3.323547,-0.40215,0.50367,-0.58313,-2.959269,0.352498,2.219148,0.115494,-0.91603,-0.296891,-2.686362,3.487259,-3.329262,-1.281297,0.539865,-1.039163,5.031978,3
-1.825774,3.258196,-1.402526,1.48744,-3.993581,0.071249,-6.348976,0.049687,-1.804838,-4.616876,0.144649,0.8211,-1.464755,0.446865,-0.582033,-5.287679,4.860434,0.742013,-0.323266,0.405573,6
-3.041477,2.815632,-2.138636,-0.702228,3.279661,1.795996,0.099979,-5.330504,1.17683,-7.345832,-6.011146,-0.123506,-4.459581,3.12309,-4.924116,-2.665324,5.342825,-5.696447,-0.708078,0.475777,0
0.900228,0.633787,3.168282,0.071681,1.488824,3.533892,-4.014916,1.148506,3.702099,1.313256,-1.672179,-3.024436,0.31686,-3.60449,-3.443328,3.675375,2.645143,-3.583295,2.904395,-1.011265,5
-0.636368,2.776451,-0.822044,-2.206904,-2.370024,-1.120446,-0.854056,1.03569,0.948543,7.739611,0.374452,-4.621956,-4.197451,-5.265073,4.087246,6.876307,-0.821958,-3.597732,4.482393,0.81557,9
0.969693,-3.805141,7.081081,1.281183,5.018304,5.574006,-2.248797,-2.975241,1.455016,2.845456,3.705673,-3.426967,0.7198,2.266847,-6.39754,3.560272,0.717687,2.975345,-3.352614,3.716498,2
2.018645,7.057947,0.118987,-1.318169,2.346615,0.503592,-1.235148,2.432116,-0.880655,3.18427,-0.934298,-6.983398,2.945984,-2.606881,-3.398372,-3.83023,1.634489,0.633699,-4.369423,5.316711,1
-8.042335,6.792814,-1.680144,-0.854325,4.58487,-2.907699,6.836336,-2.625881,-1.439804,-6.303195,-2.851378,3.539044,-2.195307,0.206766,-6.065506,3.565121,-2.135491,2.870282,0.78899,-1.418058,8
0.777242,4.513398,-1.139819,2.056264,5.003894,-3.601643,-0.60275,-2.512038,2.734127,-1.609582,2.094938,2.520152,-3.133531,0.399157,-0.304097,2.860387,-3.424147,-1.662623,-2.484642,1.254372,5
-0.250125,-0.198226,-1.952029,2.027342,0.398261,1.621213,-1.732683,0.280396,2.719407,0.975957,-5.529487,-1.799584,0.562098,6.989473,-0.825305,-1.930329,-1.741329,-0.820624,-2.457657,2.701166,4
-2.275577,-1.553595,0.706069,-0.926993,2.700131,3.116631,1.5492,0.326017,-2.65739,0.225732,2.348457,0.869467,-2.293384,1.133485,0.173463,-0.072239,0.530285,-0.420769,0.073717,-1.047617,1
2.26529,1.509603,3.111676,1.017886,-5.225425,-4.72339,5.393491,1.084834,-2.676422,-1.936634,4.32301,-2.844549,0.757263,-2.899913,1.492252,-5.193556,-5.278698,2.163296,4.38959,-0.004087,7
-3.415377,-0.141825,-3.552326,-0.536019,0.434061,0.499823,0.936713,2.417174,2.720516,0.805294,-2.926881,-0.028375,0.767294,3.099558,0.906251,-0.898197,-2.060995,0.719427,-2.040177,-3.810781,4
-0.544078,5.228339,-1.406041,2.969462,1.789507,0.19628,2.77228,-0.949689,5.294599,0.496019,-1.080338,-0.12703,1.958806,-4.142081,-7.857296,4.169112,1.987093,-0.110021,3.339446,-4.360325,8
-2.541193,0.116739,4.067129,3.064555,-3.999793,4.472356,6.265467,2.391241,-3.46898,-2.827279,-2.142392,1.416417,-0.297601,2.436577,-2.592349,2.297344,-3.161058,-4.895412,2.331284,-0.334012,9
-1.312471,3.107775,1.667971,1.957188,1.615636,0.669794,2.102873,-1.918302,-1.295242,-1.08194,-1.029522,-4.74427,-1.509446,0.293469,-1.040602,-1.620068,2.504453,0.213196,0.909546,0.677877,7
1.61924,2.323511,-1.576162,-0.746503,1.152212,-0.467772,-1.018222,1.84009,1.332954,6.343522,-2.299736,-1.874739,-1.053037,-5.565428,2.346154,-2.397959,1.400463,-2.655704,-0.666882,-2.727317,1
2.119453,-3.918137,3.086338,-0.722206,4.22868,0.787621,2.150742,-1.655556,3.118582,1.482402,0.039884,-2.232053,2.47392,-2.075579,2.74162,0.57473,-1.269429,-0.311867,-1.465588,2.096668,3
5.182102,-2.306555,-3.400308,-3.974038,2.908336,5.257491,-5.286322,0.562569,1.72086,-2.131691,-3.25478,1.723674,5.590866,1.159938,-5.028591,3.195409,5.162798,5.006203,-0.673287,0.585831,2
2.941632,2.775288,1.572414,0.539902,3.303773,0.385569,1.449376,0.54971,-0.983571,-1.682878,3.337333,-1.694717,-2.654785,-0.680481,-0.415374,2.294879,0.404353,-3.025873,-0.850295,-0.000495,9
1.668365,-0.363612,0.669294,-2.557889,0.217271,0.434126,-2.126571,-1.031945,-0.347433,2.603093,0.843475,-1.144531,-0.069307,-0.438234,-1.826101,3.213897,-1.591933,-1.200959,1.632373,3.943472,2
-0.847123,2.715961,1.336882,-0.688086,-0.94498,1.59174,-1.398817,-0.455512,3.398532,-0.103708,1.303076,-2.595038,-0.574331,2.852027,1.685404,2.033462,-2.666753,-3.005406,0.379554,-3.819102,4
-1.304358,0.29259,-2.528876,-1.408695,4.204566,2.548341,4.171704,0.234626,-0.693016,-1.015195,-0.549381,-2.113777,2.508565,0.374679,-2.951294,-1.500493,-2.498898,-0.364555,0.071672,-1.405413,4
1.345003,0.345483,9.842649,-0.869161,0.340016,-3.86988,1.100753,2.060602,-0.248653,1.594752,5.860466,-4.225283,0.555066,-1.582115,-2.528926,-5.548842,0.727992,-2.430411,4.877031,-3.390555,7
0.742341,-6.06194,-2.336567,-0.59283,-0.783478,-3.753475,-2.348903,-3.151731,3.580075,0.298544,-0.198193,-1.143435,3.692432,-4.867359,3.417954,4.223344,-1.020298,0.290911,-1.454484,4.670816,3
0.912525,-3.003386,6.17726,6.373057,1.106952,-2.506093,3.068362,-5.322628,-1.990379,-3.922666,2.335059,0.570427,-2.108528,2.039263,-0.548977,-3.361606,1.7548,-0.713262,-1.806599,-0.481378,0
2.288054,-4.473726,4.568826,1.604185,-4.781596,-2.984919,-3.061169,-1.204707,0.893806,0.937513,0.475075,-3.045723,0.376298,1.613588,3.842911,5.739279,-0.719962,0.714653,3.555982,2.734971,9
3.553565,6.568772,-2.427173,-2.677765,6.376022,1.195549,1.16667,-4.445103,-0.517546,-3.725296,-4.272287,0.494905,-2.992432,1.514243,-5.302955,0.484269,3.807081,-0.324454,3.089069,-2.541866,8
7.594893,-3.718867,-5.240386,-2.245752,-7.926495,0.475313,-1.334282,-1.178402,2.339354,-5.686403,4.910928,4.5578,-4.803613,1.081571,-2.651655,-5.739729,-1.800963,2.815438,5.466916,-1.711499,5
0.39222,2.27597,3.045143,-2.264616,2.552771,-0.885491,-3.461204,0.734619,5.539922,-0.722392,-4.335411,-3.359206,0.583038,-1.549157,0.391424,2.862097,-0.933602,2.258616,0.830737,-2.436405,3
-0.670047,0.453625,4.176489,3.484846,-3.867523,1.815802,-1.305158,3.418855,0.178601,-3.436785,-0.842661,-4.061041,-0.255902,1.409373,4.472273,0.080614,-3.947712,2.947778,3.047577,-0.756047,9
1.891598,-2.230582,1.533769,-4.419882,2.166581,-1.711844,4.744112,-0.595221,-3.174766,-2.386075,3.118119,-2.594612,-5.784155,-2.759949,1.747236,-0.885882,-1.123825,-0.638129,3.478559,-2.842687,7
1.128724,4.592119,-2.219073,4.751236,0.373746,-1.700648,-7.80509,-1.400241,-4.942616,1.77236,-3.043857,1.157318,-0.010671,1.790854,1.7699,4.468747,2.255906,1.939194,4.630178,2.664275,0
-0.840404,5.200658,-0.009874,-0.480871,1.511089,-7.703383,1.696865,0.636846,5.461215,1.774543,-3.077068,1.734571,-0.850457,-6.696319,-6.047991,6.232346,-4.17006,-1.046231,3.380445,0.157631,8
4.172935,-2.540041,-2.657211,-1.776385,4.488434,2.832185,-2.627623,3.196373,0.192647,4.046516,2.673674,0.64849,-2.219513,-1.508829,-4.639711,-0.998089,-4.089004,-0.486627,8.239884,-0.194662,2
2.900552,2.871424,-0.668632,6.028961,2.295685,-0.077394,1.76806,6.36457,1.182967,2.748421,-4.202942,3.982339,-0.233882,-1.532838,-0.296621,1.072247,-2.793377,0.759041,1.873658,-0.05485,8
0.708753,0.783953,1.280134,0.275663,0.592867,-1.115108,1.659198,-3.827935,0.076699,-0.952831,2.850792,0.670185,4.915513,0.37252,2.666534,-4.250289,0.284521,-0.946903,0.840753,3.246909,7
-0.358292,2.24578,-0.979183,1.310715,-1.183344,1.030015,2.236232,-2.466515,3.036366,-0.349272,0.140997,2.546276,0.340734,-2.103637,-5.700454,3.972355,-4.704331,6.575971,4.076148,0.515057,8
0.169062,-3.490556,0.192738,1.607189,0.56309,-6.747511,-0.977446,-0.197607,0.831793,0.823059,1.351932,-0.978111,2.054945,-0.378953,3.511696,2.46294,-0.035468,-0.128041,1.625217,0.044818,7
-3.574959,4.421152,1.354386,1.238223,1.546303,1.146738,-2.403293,3.915432,0.140567,2.163524,2.010682,-2.094331,-2.560363,-3.515411,2.093976,2.140268,-4.104431,0.398408,0.180085,-0.650631,9
2.307077,-1.454327,-4.541275,-2.077697,2.93617,-0.578088,-0.354074,-2.231106,-2.554087,3.248751,0.386687,2.849615,3.679836,-3.043172,1.062917,-0.55199,-1.00341,0.845515,2.085126,3.073914,3
3.968839,2.014988,-1.085821,0.611526,2.107605,0.644063,1.725899,0.077659,-1.035596,3.251492,-1.124929,2.719155,-2.115112,2.912377,-1.765421,-5.987588,-1.748882,0.22852,3.604036,-3.134814,3
-2.710701,4.256615,-5.893402,-1.955181,-3.010728,-2.367108,-2.741363,-2.13488,3.401435,-0.330578,-2.458263,1.412447,-3.804961,-2.281858,-3.171531,0.419179,1.639209,-1.271663,0.617692,3.756605,8
4.041635,-1.771152,-3.178464,5.596403,-4.254625,1.904815,-3.139142,-1.377585,-1.005859,-3.028062,0.396178,-1.438925,1.737106,1.995477,-4.099686,-3.088439,-0.243094,0.634212,1.330428,-0.264089,3
6.597737,-4.543115,2.246807,-1.164248,-3.173854,4.362967,-2.628144,3.055546,-1.295294,1.993146,0.065184,-6.150583,2.519553,5.417349,-6.887252,5.435926,1.250572,0.603775,-1.93853,-2.059733,2
3.419366,2.451146,0.13426,4.238421,2.087456,3.720742,-1.686372,0.19272,-5.086117,0.505351,0.374556,0.434242,-1.086123,3.8895,-1.33754,-1.808984,0.219411,0.927753,3.227589,3.16586,0
-5.249658,-0.031304,-1.821488,-4.30718,2.709483,0.541038,0.511649,-1.272049,5.122791,-3.8702,2.65286,-4.719543,0.00317,1.427253,1.575802,1.30924,-2.5651,-1.86811,-0.59535,-0.469273,0
-2.581289,-4.843865,6.487279,5.585194,-2.474601,-10.45485,-3.637507,5.514537,1.704019,0.912407,3.387433,-3.61331,-0.010083,-0.472214,4.066347,0.261965,-4.677831,-3.254481,0.642386,-1.346014,7
3.169974,-2.516234,-1.461552,0.652031,4.901954,-5.032681,-5.257636,0.958706,-0.095504,-0.099166,-2.718414,1.933007,-2.385819,0.65327,0.185922,-4.469972,-4.768494,0.331618,-0.563378,3.710655,3
0.302254,-1.220202,9.163136,-1.039022,1.232186,-2.054793,-2.57737,-0.309259,-3.94506,0.409501,3.874825,-0.350139,-1.276281,-0.837416,-4.597105,-5.106377,-1.423581,-1.294896,-1.484506,0.78695,7
-2.099896,-5.061958,-0.563426,1.797743,0.133599,-1.761117,-2.561263,1.482401,2.848185,0.262152,0.030584,0.395046,-2.965316,-1.561908,2.530021,-0.533625,-0.25176,-0.219115,3.888855,2.034905,3
-0.801196,-0.983514,-1.206034,-3.296,-4.508723,2.848245,2.450804,-1.354106,0.981527,1.594563,3.363001,-8.140382,-0.719289,7.460684,2.113496,0.598279,-1.956386,-1.980554,3.087295,-1.046191,9
-4.29242,-0.826571,-2.259043,-1.612211,-0.310909,3.905492,-0.308013,-2.165832,2.897055,1.055963,-2.173976,-0.54081,0.806548,0.837495,-0.156938,3.403293,-4.359904,-4.869289,-0.270422,-2.128074,4
1.929016,0.993256,0.961839,-0.321347,4.019209,-0.488549,-1.982303,-1.828454,2.213888,0.426811,-0.29861,-3.803681,-2.074233,-1.664123,3.663871,-1.456594,2.706464,-2.016169,0.305949,2.295172,0
1.868828,-0.178036,-3.440523,-1.983696,1.083006,-0.449955,-0.935504,-1.450906,-2.853191,-4.292505,2.130914,1.706123,3.441395,-2.454354,-2.771755,3.216097,1.160757,3.595087,-3.082267,4.878976,2
0.907517,4.033509,4.66819,-1.553697,3.3127,0.290114,-0.23598,0.354084,2.37291,1.78348,-1.059076,2.864566,-2.182108,-4.224623,-4.781527,3.832922,6.222605,-2.409207,0.994307,1.47787,9
-2.157177,-0.794943,-4.102132,-0.735632,3.019206,3.723647,-4.665304,0.736986,4.202563,4.264268,-4.679028,-3.635126,1.2252,3.98209,-1.233716,0.45703,-1.794393,-2.754154,-4.678979,-0.68057,4
-0.839645,2.268732,3.547281,3.509349,9.090256,-4.886043,-0.178468,-1.939346,-5.014579,-1.232295,-2.360418,4.64491,-2.415148,0.314038,2.105347,3.414851,1.51902,-4.390658,-1.593564,1.862039,5
0.961599,5.243441,4.542847,-1.641218,0.930237,5.847609,0.30803,1.310333,-4.01564,1.96643,-1.396371,-5.465382,-3.187312,1.908548,-2.970061,-2.383838,0.055095,-2.330757,0.567207,2.844455,1
-0.231962,0.349319,1.528313,-0.365062,0.404672,-0.183793,1.472662,2.99456,1.945802,-0.307959,-0.845561,-0.858207,0.980849,2.918026,0.484534,-2.350276,-0.78705,1.589992,1.341775,-3.737706,4
-7.662051,3.291759,5.402595,-0.660642,-1.893182,-7.77355,-2.468479,0.003308,-2.521132,-0.543268,-0.000362,-0.52175,-1.025501,0.326548,4.000861,5.789408,1.337292,2.89411,-0.588536,4.548021,6
0.384751,2.002307,0.843567,-0.568089,4.090197,-3.380502,1.14669,0.629155,0.211704,0.959189,0.971422,1.722094,-1.166753,-2.545715,1.029995,-4.756618,3.516911,-4.825218,0.29062,-1.15738,0
-2.138365,0.976321,-1.437867,1.589888,1.320692,-2.428447,-7.681991,-3.076158,-2.550612,-3.233211,0.802095,-2.234601,0.02354,-1.989897,-3.89046,0.969454,1.58985,-3.843525,-0.138437,1.772875,6
-0.49518,3.163333,4.084952,-0.491171,-1.602321,-0.807906,0.962267,-2.855078,-2.587779,2.766934,-7.326468,1.501138,1.108424,-4.20501,-1.432867,5.610925,-0.437083,-4.038225,-1.068543,1.551614,6
-6.374725,0.707638,0.601347,-3.153965,1.384199,3.401035,2.519861,-2.793047,-2.242188,3.16955,1.288158,4.417129,-3.05356,4.000696,-2.063849,-4.946159,-1.684061,-0.737475,0.509146,-3.261646,1
-0.884133,1.49301,1.016891,-0.093934,-2.667947,-5.113048,0.18603,1.68476,1.235409,2.583714,7.290427,-1.068992,-6.66733,6.464035,1.995722,4.321473,-2.925328,-1.343442,6.35159,-2.830896,5
5.608368,0.534097,-1.417535,-2.066449,-2.931891,0.402315,-0.733398,-1.843487,-0.597314,-0.314393,-2.292703,-0.658467,-4.108625,5.128806,2.820329,-1.97598,-2.876257,3.616853,3.194884,4.045515,8
-0.649106,-1.535262,0.971006,-2.446418,-1.030035,-1.268027,0.014905,-4.113139,-2.920296,4.156252,1.281356,-0.88277,0.330285,-1.385965,-3.66708,1.928298,-3.680353,4.220659,-0.59616,3.616041,2
-3.0612,-8.205712,-0.614652,0.003318,-7.972176,2.662943,3.420546,2.892703,-1.181478,-6.30078,-2.659745,1.219068,-0.930933,1.397444,4.077512,3.715488,-6.65692,-2.702902,2.153139,-3.653968,9
4.058959,1.011267,2.168666,-4.967573,-3.827031,1.037873,-3.546954,1.233924,0.36694,2.007271,1.426499,-4.510895,0.388592,0.907078,-0.11184,3.153448,0.942477,-4.793527,-0.3476,1.426491,9
