dataset,Accuracy,ErrorRate,Algorithm,,,AvgErr
pca_art04,78.09432165,0.219056784,RandomForest,,,
pca_art04,71.34052997,0.2865947,PART,,,
pca_art04,66.28675094,0.337132491,DecisionTable,,,
pca_art04,69.22139288,0.307786071,JRip,,,
pca_art04,39.04882716,0.609511728,OneR,,,
pca_art04,21.06057072,0.789394293,ZeroR,,,
pca_art04,73.80228948,0.261977105,IBk,,,
pca_art04,76.40797367,0.235920263,KStar,,,
pca_art04,47.15948477,0.528405152,LWL,,,
pca_art04,82.72394153,0.172760585,NaiveBayes,,,
pca_art04,34.31411434,0.656858857,AdaBoostM1,,,
pca_art04,72.7222596,0.272777404,Bagging,,,
pca_art04,25.80961144,0.741903886,Stacking,,,
pca_art04,75.17581698,0.24824183,LogitBoost,,,
pca_art04,75.37507231,0.246249277,RandomCommittee,,,
pca_art04,25.13187638,0.748681236,Vote,,,
pca_art04,65.34162946,0.346583705,Logistic,,,
pca_art04,66.17019417,0.338298058,MultilayerPerceptron,,,
pca_art04,65.18020421,0.348197958,SimpleLogistic,,,
pca_art04,53.82196044,0.461780396,SMO,,,
pca_art04,77.73495351,0.222650465,SVM,,,
pca_art05,72.73043775,0.272695623,J48,,,
pca_art05,69.33679245,0.306632075,DecisionStump,,,
pca_art05,80.54969767,0.194503023,RandomForest,,,
pca_art05,73.45236916,0.265476308,PART,,,
pca_art05,67.914392,0.32085608,DecisionTable,,,
pca_art05,74.15474524,0.258452548,JRip,,,
pca_art05,74.63782634,0.253621737,OneR,,,
pca_art05,51.13625006,0.488637499,ZeroR,,,
pca_art05,69.41331619,0.305866838,IBk,,,
pca_art05,60.97836011,0.390216399,KStar,,,
pca_art05,74.18842486,0.258115751,LWL,,,
pca_art05,79.22856137,0.207714386,NaiveBayes,,,
pca_art05,77.64551471,0.223544853,AdaBoostM1,,,
pca_art05,80.0434201,0.199565799,Bagging,,,
pca_art05,50.27243635,0.497275636,Stacking,,,
pca_art05,75.04712555,0.249528745,LogitBoost,,,
pca_art05,76.43916593,0.235608341,RandomCommittee,,,
pca_art05,50.53907541,0.494609246,Vote,,,
pca_art05,76.15081675,0.238491832,Logistic,,,
pca_art05,79.77079723,0.202292028,MultilayerPerceptron,,,
pca_art05,79.55008739,0.204499126,SimpleLogistic,,,
pca_art05,73.02373643,0.269762636,SMO,,,
pca_art05,67.24784226,0.327521577,SVM,,,
pca_art06,80.31485052,0.196851495,J48,,,
pca_art06,46.18489822,0.538151018,DecisionStump,,,
pca_art06,78.61957507,0.213804249,RandomForest,,,
pca_art06,82.16374848,0.178362515,PART,,,
pca_art06,61.54617454,0.384538255,DecisionTable,,,
pca_art06,79.58879054,0.204112095,JRip,,,
pca_art06,43.3331647,0.566668353,OneR,,,
pca_art06,25.1551753,0.748448247,ZeroR,,,
pca_art06,80.45795756,0.195420424,IBk,,,
pca_art06,76.11975942,0.238802406,KStar,,,
pca_art06,55.75581315,0.442441868,LWL,,,
pca_art06,79.2983279,0.207016721,NaiveBayes,,,
pca_art06,46.33343391,0.536665661,AdaBoostM1,,,
pca_art06,81.09998299,0.18900017,Bagging,,,
pca_art06,19.7881472,0.802118528,Stacking,,,
pca_art06,73.3120707,0.266879293,LogitBoost,,,
pca_art06,81.61496088,0.183850391,RandomCommittee,,,
pca_art06,19.5089798,0.804910202,Vote,,,
pca_art06,79.00997114,0.209900289,Logistic,,,
pca_art06,83.06054954,0.169394505,MultilayerPerceptron,,,
pca_art06,79.24723643,0.207527636,SimpleLogistic,,,
pca_art06,76.41172127,0.235882787,SMO,,,
pca_art06,84.53264505,0.154673549,SVM,,,
pca_art08,52.78347354,0.472165265,J48,,,
pca_art08,34.3590812,0.656409188,DecisionStump,,,
pca_art08,62.13356266,0.378664373,RandomForest,,,
pca_art08,60.80817325,0.391918267,PART,,,
pca_art08,63.5199544,0.364800456,DecisionTable,,,
pca_art08,53.40035147,0.465996485,JRip,,,
pca_art08,52.16092016,0.478390798,OneR,,,
pca_art08,25.39704994,0.746029501,ZeroR,,,
pca_art08,62.0963087,0.379036913,IBk,,,
pca_art08,56.0719529,0.439280471,KStar,,,
pca_art08,54.74857806,0.452514219,LWL,,,
pca_art08,65.10400801,0.34895992,NaiveBayes,,,
pca_art08,34.08064134,0.659193587,AdaBoostM1,,,
pca_art08,58.67163561,0.413283644,Bagging,,,
pca_art08,26.72578349,0.732742165,Stacking,,,
pca_art08,59.18871619,0.408112838,LogitBoost,,,
pca_art08,52.44359494,0.475564051,RandomCommittee,,,
pca_art08,26.78345144,0.732165486,Vote,,,
pca_art08,64.68095602,0.35319044,Logistic,,,
pca_art08,65.14151772,0.348584823,MultilayerPerceptron,,,
pca_art08,59.01408567,0.409859143,SimpleLogistic,,,
pca_art08,55.81423904,0.44185761,SMO,,,
pca_art08,54.07153814,0.459284619,SVM,,,
pca_art09,65.75961557,0.342403844,J48,,,
pca_art09,42.66936571,0.573306343,DecisionStump,,,
pca_art09,75.11777267,0.248822273,RandomForest,,,
pca_art09,63.03733978,0.369626602,PART,,,
pca_art09,56.80150813,0.431984919,DecisionTable,,,
pca_art09,61.72757207,0.382724279,JRip,,,
pca_art09,36.5388433,0.634611567,OneR,,,
pca_art09,24.22985033,0.757701497,ZeroR,,,
pca_art09,71.97398819,0.280260118,IBk,,,
pca_art09,61.30200186,0.386979981,KStar,,,
pca_art09,54.40089467,0.455991053,LWL,,,
pca_art09,75.55027143,0.244497286,NaiveBayes,,,
pca_art09,42.06747908,0.579325209,AdaBoostM1,,,
pca_art09,70.42705888,0.295729411,Bagging,,,
pca_art09,25.0240419,0.749759581,Stacking,,,
pca_art09,69.53096441,0.304690356,LogitBoost,,,
pca_art09,68.69990232,0.313000977,RandomCommittee,,,
pca_art09,24.2738606,0.757261394,Vote,,,
pca_art09,71.35199355,0.286480065,Logistic,,,
pca_art09,69.43047458,0.305695254,MultilayerPerceptron,,,
pca_art09,71.02240051,0.289775995,SimpleLogistic,,,
pca_art09,59.78180028,0.402181997,SMO,,,
pca_art09,75.25519643,0.247448036,SVM,,,
pca_art10,81.10798113,0.188920189,J48,,,
pca_art10,81.76659182,0.182334082,DecisionStump,,,
pca_art10,85.05816615,0.149418338,RandomForest,,,
pca_art10,76.74723516,0.232527648,PART,,,
pca_art10,81.67914637,0.183208536,DecisionTable,,,
pca_art10,81.08828917,0.189117108,JRip,,,
pca_art10,78.53047383,0.214695262,OneR,,,
pca_art10,50.14254828,0.498574517,ZeroR,,,
pca_art10,83.74093527,0.162590647,IBk,,,
pca_art10,79.48917435,0.205108256,KStar,,,
pca_art10,82.35329761,0.176467024,LWL,,,
pca_art10,86.29335217,0.137066478,NaiveBayes,,,
pca_art10,78.55914776,0.214408522,AdaBoostM1,,,
pca_art10,84.85755212,0.151424479,Bagging,,,
pca_art10,49.9189837,0.500810163,Stacking,,,
pca_art10,82.56303579,0.174369642,LogitBoost,,,
pca_art10,78.12020643,0.218797936,RandomCommittee,,,
pca_art10,50.1319946,0.498680054,Vote,,,
pca_art10,87.92132417,0.120786758,Logistic,,,
pca_art10,86.02009333,0.139799067,MultilayerPerceptron,,,
pca_art10,89.3472491,0.106527509,SimpleLogistic,,,
pca_art10,83.00338185,0.169966181,SMO,,,
pca_art10,76.47956115,0.235204389,SVM,,,
pca_art11,82.62315337,0.173768466,J48,,,
pca_art11,83.91602173,0.160839783,DecisionStump,,,
pca_art11,82.13364625,0.178663537,RandomForest,,,
pca_art11,82.76298835,0.172370117,PART,,,
pca_art11,80.65091158,0.193490884,DecisionTable,,,
pca_art11,81.20500983,0.187949902,JRip,,,
pca_art11,83.48011169,0.165198883,OneR,,,
pca_art11,51.3232565,0.486767435,ZeroR,,,
pca_art11,81.53762633,0.184623737,IBk,,,
pca_art11,79.12900545,0.208709945,KStar,,,
pca_art11,83.66918858,0.163308114,LWL,,,
pca_art11,85.05357196,0.14946428,NaiveBayes,,,
pca_art11,83.68009182,0.163199082,AdaBoostM1,,,
pca_art11,84.0161492,0.159838508,Bagging,,,
pca_art11,51.47560864,0.485243914,Stacking,,,
pca_art11,81.43742141,0.185625786,LogitBoost,,,
pca_art11,78.23136874,0.217686313,RandomCommittee,,,
pca_art11,51.32342322,0.486765768,Vote,,,
pca_art11,87.19586682,0.128041332,Logistic,,,
pca_art11,83.14275597,0.16857244,MultilayerPerceptron,,,
pca_art11,87.83038814,0.121696119,SimpleLogistic,,,
pca_art11,78.19288619,0.218071138,SMO,,,
pca_art11,76.80648013,0.231935199,SVM,,,
pca_art13,84.179838,0.15820162,J48,,,
pca_art13,90.51662051,0.094833795,DecisionStump,,,
pca_art13,86.42909463,0.135709054,RandomForest,,,
pca_art13,84.97704811,0.150229519,PART,,,
pca_art13,87.12184972,0.128781503,DecisionTable,,,
pca_art13,90.92661325,0.090733867,JRip,,,
pca_art13,83.92359407,0.160764059,OneR,,,
pca_art13,51.49596713,0.485040329,ZeroR,,,
pca_art13,92.38250708,0.076174929,IBk,,,
pca_art13,87.16351164,0.128364884,KStar,,,
pca_art13,92.52785634,0.074721437,LWL,,,
pca_art13,94.14023363,0.058597664,NaiveBayes,,,
pca_art13,88.18626453,0.118137355,AdaBoostM1,,,
pca_art13,90.56856803,0.09431432,Bagging,,,
pca_art13,52.1187758,0.478812242,Stacking,,,
pca_art13,87.12917666,0.128708233,LogitBoost,,,
pca_art13,88.52308318,0.114769168,RandomCommittee,,,
pca_art13,51.89544004,0.4810456,Vote,,,
pca_art13,91.69993607,0.083000639,Logistic,,,
pca_art13,92.28012771,0.077198723,MultilayerPerceptron,,,
pca_art13,91.2240096,0.087759904,SimpleLogistic,,,
pca_art13,87.67822406,0.123217759,SMO,,,
pca_art13,90.19709802,0.09802902,SVM,,,
pca_art14,57.16822682,0.428317732,J48,,,
pca_art14,42.84191264,0.571580874,DecisionStump,,,
pca_art14,63.70341525,0.362965847,RandomForest,,,
pca_art14,58.73924256,0.412607574,PART,,,
pca_art14,56.20395549,0.437960445,DecisionTable,,,
pca_art14,57.03098638,0.429690136,JRip,,,
pca_art14,42.99431618,0.570056838,OneR,,,
pca_art14,25.94995967,0.740500403,ZeroR,,,
pca_art14,59.80847063,0.401915294,IBk,,,
pca_art14,61.05708565,0.389429143,KStar,,,
pca_art14,49.06462901,0.50935371,LWL,,,
pca_art14,62.96303549,0.370369645,NaiveBayes,,,
pca_art14,42.89175161,0.571082484,AdaBoostM1,,,
pca_art14,62.47310329,0.375268967,Bagging,,,
pca_art14,24.33951854,0.756604815,Stacking,,,
pca_art14,56.74990961,0.432500904,LogitBoost,,,
pca_art14,57.3970866,0.426029134,RandomCommittee,,,
pca_art14,24.34629576,0.756537042,Vote,,,
pca_art14,55.01466204,0.44985338,Logistic,,,
pca_art14,55.17289115,0.448271089,MultilayerPerceptron,,,
pca_art14,56.06205415,0.439379459,SimpleLogistic,,,
pca_art14,52.82977651,0.471702235,SMO,,,
pca_art14,41.46818102,0.58531819,SVM,,,
pca_art15,68.49812798,0.31501872,J48,,,
pca_art15,39.80959195,0.601904081,DecisionStump,,,
pca_art15,74.67334464,0.253266554,RandomForest,,,
pca_art15,69.33850713,0.306614929,PART,,,
pca_art15,68.89401339,0.311059866,DecisionTable,,,
pca_art15,64.65975312,0.353402469,JRip,,,
pca_art15,32.5647835,0.674352165,OneR,,,
pca_art15,25.04322697,0.74956773,ZeroR,,,
pca_art15,77.83417364,0.221658264,IBk,,,
pca_art15,64.48694413,0.355130559,KStar,,,
pca_art15,44.85843443,0.551415656,LWL,,,
pca_art15,75.05457788,0.249454221,NaiveBayes,,,
pca_art15,39.74116409,0.602588359,AdaBoostM1,,,
pca_art15,68.67500642,0.313249936,Bagging,,,
pca_art15,18.59945986,0.814005401,Stacking,,,
pca_art15,63.21455947,0.367854405,LogitBoost,,,
pca_art15,73.96432014,0.260356799,RandomCommittee,,,
pca_art15,19.18648516,0.808135148,Vote,,,
pca_art15,76.7588393,0.232411607,Logistic,,,
pca_art15,74.25835811,0.257416419,MultilayerPerceptron,,,
pca_art15,76.90869526,0.230913047,SimpleLogistic,,,
pca_art15,68.03685153,0.319631485,SMO,,,
pca_art15,68.07707156,0.319229284,SVM,,,
pca_art16,83.15379682,0.168462032,J48,,,
pca_art16,62.3024427,0.376975573,DecisionStump,,,
pca_art16,86.07471802,0.13925282,RandomForest,,,
pca_art16,83.97071,0.1602929,PART,,,
pca_art16,82.07260082,0.179273992,DecisionTable,,,
pca_art16,80.86971113,0.191302889,JRip,,,
pca_art16,63.03711553,0.369628845,OneR,,,
pca_art16,33.03496159,0.669650384,ZeroR,,,
pca_art16,86.59366732,0.134063327,IBk,,,
pca_art16,73.19847798,0.26801522,KStar,,,
pca_art16,64.94710514,0.350528949,LWL,,,
pca_art16,85.1576072,0.148423928,NaiveBayes,,,
pca_art16,66.15877607,0.338412239,AdaBoostM1,,,
pca_art16,84.84436649,0.151556335,Bagging,,,
pca_art16,33.5233988,0.664766012,Stacking,,,
pca_art16,84.68931612,0.153106839,LogitBoost,,,
pca_art16,88.53240796,0.11467592,RandomCommittee,,,
pca_art16,33.00509291,0.669949071,Vote,,,
pca_art16,83.42581124,0.165741888,Logistic,,,
pca_art16,81.88869323,0.181113068,MultilayerPerceptron,,,
pca_art16,85.89087607,0.141091239,SimpleLogistic,,,
pca_art16,80.14993897,0.19850061,SMO,,,
pca_art16,78.9190235,0.210809765,SVM,,,
pca_art18,94.43379021,0.055662098,J48,,,
pca_art18,89.02461771,0.109753823,DecisionStump,,,
pca_art18,90.62364064,0.093763594,RandomForest,,,
pca_art18,94.79521858,0.052047814,PART,,,
pca_art18,89.19011055,0.108098895,DecisionTable,,,
pca_art18,85.39288821,0.146071118,JRip,,,
pca_art18,79.76189419,0.202381058,OneR,,,
pca_art18,51.17422178,0.488257782,ZeroR,,,
pca_art18,93.11869119,0.068813088,IBk,,,
pca_art18,87.05139366,0.129486063,KStar,,,
pca_art18,89.21577162,0.107842284,LWL,,,
pca_art18,87.20229017,0.127977098,NaiveBayes,,,
pca_art18,86.61742185,0.133825781,AdaBoostM1,,,
pca_art18,87.67273414,0.123272659,Bagging,,,
pca_art18,51.18175654,0.488182435,Stacking,,,
pca_art18,86.75343779,0.132465622,LogitBoost,,,
pca_art18,94.07388373,0.059261163,RandomCommittee,,,
pca_art18,50.97220359,0.490277964,Vote,,,
pca_art18,88.33094983,0.116690502,Logistic,,,
pca_art18,90.19506135,0.098049387,MultilayerPerceptron,,,
pca_art18,88.41623829,0.115837617,SimpleLogistic,,,
pca_art18,83.25610669,0.167438933,SMO,,,
pca_art18,90.52008447,0.094799155,SVM,,,
pca_art20,64.80643073,0.351935693,J48,,,
pca_art20,40.48762325,0.595123767,DecisionStump,,,
pca_art20,69.8522373,0.301477627,RandomForest,,,
pca_art20,70.02969853,0.299703015,PART,,,
pca_art20,59.25417975,0.407458203,DecisionTable,,,
pca_art20,64.66187685,0.353381231,JRip,,,
pca_art20,45.67330886,0.543266911,OneR,,,
pca_art20,25.22518615,0.747748138,ZeroR,,,
pca_art20,65.30696721,0.346930328,IBk,,,
pca_art20,55.1596758,0.448403242,KStar,,,
pca_art20,53.86649582,0.461335042,LWL,,,
pca_art20,70.7989256,0.292010744,NaiveBayes,,,
pca_art20,40.43910657,0.595608934,AdaBoostM1,,,
pca_art20,69.10622708,0.308937729,Bagging,,,
pca_art20,24.64241267,0.753575873,Stacking,,,
pca_art20,69.82608316,0.301739168,LogitBoost,,,
pca_art20,70.43712433,0.295628757,RandomCommittee,,,
pca_art20,24.42068317,0.755793168,Vote,,,
pca_art20,71.13012544,0.288698746,Logistic,,,
pca_art20,75.13186317,0.248681368,MultilayerPerceptron,,,
pca_art20,69.69120367,0.303087963,SimpleLogistic,,,
pca_art20,50.23655071,0.497634493,SMO,,,
pca_art20,57.19292179,0.428070782,SVM,,,
pca_art21,86.86767396,0.13132326,J48,,,
pca_art21,85.33788759,0.146621124,DecisionStump,,,
pca_art21,89.29277191,0.107072281,RandomForest,,,
pca_art21,93.70142213,0.062985779,PART,,,
pca_art21,85.47465413,0.145253459,DecisionTable,,,
pca_art21,84.29076619,0.157092338,JRip,,,
pca_art21,89.80822227,0.101917777,OneR,,,
pca_art21,50.00129152,0.499987085,ZeroR,,,
pca_art21,92.50825285,0.074917472,IBk,,,
pca_art21,83.00790374,0.169920963,KStar,,,
pca_art21,86.3991538,0.136008462,LWL,,,
pca_art21,91.3458751,0.086541249,NaiveBayes,,,
pca_art21,92.85135481,0.071486452,AdaBoostM1,,,
pca_art21,87.89813628,0.121018637,Bagging,,,
pca_art21,50.88749414,0.491125059,Stacking,,,
pca_art21,91.61406514,0.083859349,LogitBoost,,,
pca_art21,92.10894804,0.07891052,RandomCommittee,,,
pca_art21,50.71941504,0.49280585,Vote,,,
pca_art21,93.89758435,0.061024157,Logistic,,,
pca_art21,93.92591378,0.060740862,MultilayerPerceptron,,,
pca_art21,92.89893493,0.071010651,SimpleLogistic,,,
pca_art21,88.07300023,0.119269998,SMO,,,
pca_art21,85.77245943,0.142275406,SVM,,,
pca_art22,95.30396693,0.046960331,J48,,,
pca_art22,96.08082821,0.039191718,DecisionStump,,,
pca_art22,96.24825078,0.037517492,RandomForest,,,
pca_art22,95.37558763,0.046244124,PART,,,
pca_art22,95.43965372,0.045603463,DecisionTable,,,
pca_art22,96.98599889,0.030140011,JRip,,,
pca_art22,91.7300931,0.082699069,OneR,,,
pca_art22,50.24247187,0.497575281,ZeroR,,,
pca_art22,98.18336021,0.018166398,IBk,,,
pca_art22,90.07086365,0.099291363,KStar,,,
pca_art22,97.98585022,0.020141498,LWL,,,
pca_art22,97.0674428,0.029325572,NaiveBayes,,,
pca_art22,95.86710277,0.041328972,AdaBoostM1,,,
pca_art22,96.04634316,0.039536568,Bagging,,,
pca_art22,50.31711778,0.496828822,Stacking,,,
pca_art22,97.99151782,0.020084822,LogitBoost,,,
pca_art22,97.72441361,0.022755864,RandomCommittee,,,
pca_art22,50.32463457,0.496753654,Vote,,,
pca_art22,96.49265786,0.035073421,Logistic,,,
pca_art22,97.72739216,0.022726078,MultilayerPerceptron,,,
pca_art22,98.29709549,0.017029045,SimpleLogistic,,,
pca_art22,95.00371575,0.049962842,SMO,,,
pca_art22,94.98835243,0.050116476,SVM,,,
pca_art23,59.24503406,0.407549659,J48,,,
pca_art23,42.72144419,0.572785558,DecisionStump,,,
pca_art23,74.23723858,0.257627614,RandomForest,,,
pca_art23,54.36830971,0.456316903,PART,,,
pca_art23,67.95435008,0.320456499,DecisionTable,,,
pca_art23,62.10029622,0.378997038,JRip,,,
pca_art23,48.01111792,0.519888821,OneR,,,
pca_art23,26.01694437,0.739830556,ZeroR,,,
pca_art23,81.67184039,0.183281596,IBk,,,
pca_art23,71.55871607,0.284412839,KStar,,,
pca_art23,47.56236989,0.524376301,LWL,,,
pca_art23,81.80235289,0.181976471,NaiveBayes,,,
pca_art23,42.83438524,0.571656148,AdaBoostM1,,,
pca_art23,73.00036342,0.269996366,Bagging,,,
pca_art23,22.07124066,0.779287593,Stacking,,,
pca_art23,60.22469614,0.397753039,LogitBoost,,,
pca_art23,77.13556154,0.228644385,RandomCommittee,,,
pca_art23,22.03632804,0.77963672,Vote,,,
pca_art23,74.10897436,0.258910256,Logistic,,,
pca_art23,79.14997538,0.208500246,MultilayerPerceptron,,,
pca_art23,68.56077352,0.314392265,SimpleLogistic,,,
pca_art23,64.4469664,0.355530336,SMO,,,
pca_art23,71.39232278,0.286076772,SVM,,,
pca_art25,49.29762598,0.50702374,J48,,,
pca_art25,48.66444481,0.513355552,DecisionStump,,,
pca_art25,59.14360823,0.408563918,RandomForest,,,
pca_art25,61.12832836,0.388716716,PART,,,
pca_art25,56.4665497,0.435334503,DecisionTable,,,
pca_art25,52.19586714,0.478041329,JRip,,,
pca_art25,49.1542531,0.508457469,OneR,,,
pca_art25,34.64747121,0.653525288,ZeroR,,,
pca_art25,63.6584235,0.363415765,IBk,,,
pca_art25,51.27864456,0.487213554,KStar,,,
pca_art25,47.82163096,0.52178369,LWL,,,
pca_art25,65.32787891,0.346721211,NaiveBayes,,,
pca_art25,48.25712775,0.517428723,AdaBoostM1,,,
pca_art25,56.44227793,0.435577221,Bagging,,,
pca_art25,30.48179561,0.695182044,Stacking,,,
pca_art25,67.97837966,0.320216203,LogitBoost,,,
pca_art25,54.64668028,0.453533197,RandomCommittee,,,
pca_art25,30.80837032,0.691916297,Vote,,,
pca_art25,62.31449249,0.376855075,Logistic,,,
pca_art25,66.08310165,0.339168983,MultilayerPerceptron,,,
pca_art25,61.59399431,0.384060057,SimpleLogistic,,,
pca_art25,48.19110177,0.518088982,SMO,,,
pca_art25,58.06097079,0.419390292,SVM,,,
pca_art26,64.90648528,0.350935147,J48,,,
pca_art26,46.77595215,0.532240478,DecisionStump,,,
pca_art26,61.14659049,0.388534095,RandomForest,,,
pca_art26,62.01114722,0.379888528,PART,,,
pca_art26,65.06974268,0.349302573,DecisionTable,,,
pca_art26,59.65866604,0.40341334,JRip,,,
pca_art26,38.60625293,0.613937471,OneR,,,
pca_art26,21.76038026,0.782396197,ZeroR,,,
pca_art26,69.4093137,0.305906863,IBk,,,
pca_art26,53.01854777,0.469814522,KStar,,,
pca_art26,58.03295163,0.419670484,LWL,,,
pca_art26,67.12048605,0.32879514,NaiveBayes,,,
pca_art26,46.20796775,0.537920323,AdaBoostM1,,,
pca_art26,63.39040522,0.366095948,Bagging,,,
pca_art26,23.51280616,0.764871938,Stacking,,,
pca_art26,61.92823169,0.380717683,LogitBoost,,,
pca_art26,59.0403857,0.409596143,RandomCommittee,,,
pca_art26,23.54239972,0.764576003,Vote,,,
pca_art26,70.89963931,0.291003607,Logistic,,,
pca_art26,74.00411378,0.259958862,MultilayerPerceptron,,,
pca_art26,71.14966557,0.288503344,SimpleLogistic,,,
pca_art26,60.75156051,0.392484395,SMO,,,
pca_art26,63.12443919,0.368755608,SVM,,,
pca_art27,63.85229392,0.361477061,J48,,,
pca_art27,41.40793175,0.585920682,DecisionStump,,,
pca_art27,73.05053015,0.269494698,RandomForest,,,
pca_art27,65.16589425,0.348341058,PART,,,
pca_art27,59.10025656,0.408997434,DecisionTable,,,
pca_art27,55.68208373,0.443179163,JRip,,,
pca_art27,34.10987697,0.65890123,OneR,,,
pca_art27,25.88486083,0.741151392,ZeroR,,,
pca_art27,76.63891919,0.233610808,IBk,,,
pca_art27,66.65898835,0.333410116,KStar,,,
pca_art27,60.89508385,0.391049162,LWL,,,
pca_art27,74.1897403,0.258102597,NaiveBayes,,,
