dataset,Accuracy,RMSE,Fscore,Kappa,PRC,AUC,nInstances,nClasses,nAttributes,Algorithm,RunTime,avgMissCost,AvgTotalCost,SAR,median1,mean1,sdt1,skewness1,mad1,median2,mean2,sdt2,skewness2,mad2,median3,mean3,sdt3,skewness3,mad3,median4,mean4,sdt4,skewness4,mad4,entro_Class,totalCorr
pca_abalone,16.49,0.18,0.05,0,0.11,0.5,4177,28,4,ZeroR,39,1.33,556.9,0.5,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,18.48,0.24,0.19,0.09,0.15,0.53,4177,28,4,IBk,1115,1.22,509.3,0.49,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,23.13,0.18,0.22,0.13,0.23,0.71,4177,28,4,Bagging,6077,1.21,507.3,0.59,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,16.49,0.18,0.05,0,0.11,0.5,4177,28,4,Stacking,123,1.33,556.9,0.5,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,25.23,0.17,0.23,0.14,0.25,0.73,4177,28,4,LogitBoost,13477,1.21,507.1,0.6,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,19.56,0.18,0.08,0.07,0.15,0.63,4177,28,4,AdaBoostM1,414,1.32,552.6,0.55,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,16.49,0.18,0.05,0,0.11,0.5,4177,28,4,Vote,44,1.33,556.9,0.5,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,25.42,0.17,0.22,0.14,0.24,0.73,4177,28,4,Logistic,1029894,1.23,513.3,0.6,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,25.4,0.17,0.21,0.15,0.26,0.73,4177,28,4,MultilayerPerceptron,464719,1.25,520.2,0.61,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,19.63,0.2,0.19,0.1,0.19,0.63,4177,28,4,RandomCommittee,17743,1.22,509.2,0.54,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,22.12,0.18,0.15,0.1,0.2,0.7,4177,28,4,SMO,27169,1.26,527.2,0.58,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_abalone,25.93,0.17,0.23,0.15,0.24,0.73,4177,28,4,SimpleLogistic,109603,1.22,509.4,0.6,0.156084,-1.20E-09,2.631998916,-0.029669665,2.853360069,0.211768,1.68E-09,1.232815026,-0.060836655,1.923726874,0.064805,-1.92E-09,0.954730292,-0.130707928,1.034469324,-0.003599,2.15E-09,0.526674081,-15.02393964,0.339039485,2.493613143,8.784223088
pca_arrhythmia,53.55,0.21,0.39,0.03,0.36,0.52,452,16,4,DecisionStump,30,0.91,41.3,0.62,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,51.77,0.21,0.46,0.17,0.49,0.64,452,16,4,RandomForest,591,0.83,37.4,0.65,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,47.56,0.23,0.45,0.17,0.45,0.61,452,16,4,J48,309,0.83,37.5,0.62,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,55.98,0.2,0.47,0.18,0.56,0.7,452,16,4,Bagging,499,0.81,36.5,0.69,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,54.22,0.21,0.39,0,0.35,0.5,452,16,4,Stacking,18,0.92,41.4,0.61,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,54.67,0.2,0.49,0.22,0.52,0.67,452,16,4,LogitBoost,886,0.76,34.4,0.67,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,45.57,0.23,0.44,0.15,0.46,0.6,452,16,4,PART,737,0.84,37.9,0.61,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,54.43,0.2,0.43,0.12,0.44,0.62,452,16,4,DecisionTable,195,0.85,38.3,0.65,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,56.43,0.2,0.46,0.16,0.41,0.58,452,16,4,JRip,679,0.82,37,0.65,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,46.91,0.26,0.4,0.08,0.38,0.54,452,16,4,OneR,20,0.87,39.4,0.58,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,54.22,0.21,0.39,0,0.35,0.5,452,16,4,ZeroR,8,0.92,41.4,0.61,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,47.79,0.25,0.47,0.2,0.45,0.59,452,16,4,IBk,34,0.79,35.7,0.61,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,46.25,0.22,0.42,0.13,0.52,0.68,452,16,4,KStar,1725,0.84,38.2,0.64,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,56.43,0.2,0.43,0.11,0.54,0.68,452,16,4,LWL,793,0.85,38.5,0.68,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,58.64,0.19,0.5,0.25,0.55,0.7,452,16,4,NaiveBayes,40,0.75,33.7,0.7,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,53.55,0.21,0.39,0.03,0.36,0.52,452,16,4,AdaBoostM1,41,0.91,41.3,0.62,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,49.31,0.22,0.47,0.19,0.5,0.64,452,16,4,RandomCommittee,873,0.81,36.8,0.64,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,54.22,0.21,0.39,0,0.35,0.5,452,16,4,Vote,84,0.92,41.4,0.61,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,57.53,0.2,0.49,0.22,0.58,0.72,452,16,4,Logistic,3744,0.77,34.9,0.7,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,56,0.2,0.51,0.25,0.55,0.7,452,16,4,MultilayerPerceptron,21170,0.73,33.1,0.69,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,58.64,0.2,0.49,0.22,0.57,0.72,452,16,4,SimpleLogistic,5461,0.76,34.5,0.7,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,54.88,0.23,0.4,0.02,0.41,0.55,452,16,4,SMO,6662,0.9,40.8,0.62,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_arrhythmia,54,0.24,0.38,0,0.33,0.5,452,16,4,SVM,5,0.46,207,0.6,10.823222,1.33E-08,82.78537577,-0.706967845,78.30591711,5.918789,7.13E-17,66.65432107,-0.845323843,57.39887012,-1.597195,9.31E-18,64.2519769,0.611319701,49.85570599,-1.0941675,6.64E-09,61.36352522,0.975415832,41.86268915,1.651556431,6.379372653
pca_art01,89,0.29,0.89,0.76,0.98,0.97,100,2,4,MultilayerPerceptron,740,0.15,1.5,0.86,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,83,0.36,0.83,0.65,0.89,0.89,100,2,4,RandomCommittee,53,0.24,2.4,0.79,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,50,0.54,0.34,0,0.52,0.5,100,2,4,Vote,1,0.5,5,0.49,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,89,0.3,0.89,0.77,0.97,0.96,100,2,4,Logistic,40,0.14,1.4,0.85,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,86,0.34,0.86,0.71,0.84,0.87,100,2,4,J48,78,0.18,1.8,0.8,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,84,0.37,0.84,0.67,0.8,0.84,100,2,4,DecisionStump,13,0.23,2.3,0.77,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,85,0.32,0.85,0.69,0.93,0.93,100,2,4,RandomForest,80,0.2,2,0.82,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,87,0.33,0.87,0.73,0.85,0.88,100,2,4,PART,15,0.17,1.7,0.81,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,87,0.33,0.87,0.73,0.86,0.88,100,2,4,DecisionTable,49,0.17,1.7,0.81,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,85,0.36,0.85,0.7,0.82,0.84,100,2,4,JRip,34,0.19,1.9,0.78,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,87,0.31,0.87,0.73,0.96,0.96,100,2,4,SimpleLogistic,437,0.16,1.6,0.84,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,85,0.38,0.85,0.69,0.81,0.85,100,2,4,SMO,138,0.18,1.8,0.77,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,87,0.36,0.87,0.74,0.83,0.87,100,2,4,SVM,0.12,0.14,14,0.793333333,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,82,0.37,0.82,0.63,0.94,0.93,100,2,4,KStar,91,0.24,2.4,0.79,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,84,0.36,0.84,0.67,0.98,0.97,100,2,4,LWL,23,0.23,2.3,0.82,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,87,0.3,0.87,0.73,0.98,0.97,100,2,4,NaiveBayes,12,0.15,1.5,0.85,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,86,0.32,0.86,0.71,0.94,0.94,100,2,4,AdaBoostM1,39,0.19,1.9,0.83,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,87,0.33,0.87,0.73,0.89,0.89,100,2,4,Bagging,48,0.16,1.6,0.81,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,50,0.54,0.34,0,0.52,0.5,100,2,4,Stacking,7,0.5,5,0.49,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,83,0.34,0.83,0.66,0.93,0.93,100,2,4,LogitBoost,45,0.24,2.4,0.81,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,50,0.53,0.34,0,0.52,0.5,100,2,4,ZeroR,2,0.5,5,0.49,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,85,0.35,0.85,0.7,0.82,0.85,100,2,4,IBk,10,0.23,2.3,0.78,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art01,79,0.45,0.78,0.57,0.74,0.78,100,2,4,OneR,26,0.28,2.8,0.71,-0.283222,-1.00E-08,2.805498955,0.126058487,3.252788818,0.005192,4.00E-08,2.189666282,0.510536389,2.119903023,0.116695,-2.00E-08,1.721090769,-0.175080251,1.763918902,0.1787625,3.00E-08,1.530769901,-0.349362619,1.21432946,0.688172179,4.856259537
pca_art03,60,0.45,0.59,0.4,0.78,0.81,100,3,4,KStar,63,0.5,5,0.65,0.0348005,-1.00E-08,3.072690504,-0.108122163,3.528983854,-0.3408215,-4.00E-08,2.920235931,0.062654349,2.669059546,0.053873,-3.00E-08,2.68650962,-0.154334286,3.383339161,-0.32049,2.00E-08,2.483741962,0.188203336,2.393186233,1.088579292,4.856259537
